band	seq	mark	kept	value	connectdegree	connectborder	top	bottom	left	right
high	1	a	False	0.8954614	0.0	4	1779	1792	1182	1203
high	1	a	False	0.9056161	0.0	4	616	629	555	576
high	1	a	False	0.90861225	0.0	4	1780	1793	1263	1284
high	1	a	False	0.91329557	0.0	4	696	709	1020	1041
high	1	a	False	0.9290781	0.0	4	858	871	785	806
high	1	a	True	0.8043676	0.19047619047619047	4	1382	1395	732	753
high	1	a	True	0.82928365	0.2967032967032967	4	855	868	647	668
high	1	a	True	0.8386734	0.21978021978021978	4	1781	1794	762	783
high	1	a	True	0.85084325	0.17216117216117216	4	1618	1631	312	333
high	1	a	True	0.86242217	0.21978021978021978	4	1015	1028	1102	1123
high	1	a	True	0.86326605	0.17216117216117216	4	1617	1630	693	714
high	3	footnote1	False	0.86861026	0.0	4	212	240	745	794
high	9	footnote8	False	0.9057773	0.0	4	1779	1810	1290	1339
high	10	shadda.a.2	False	0.80671895	0.0	4	1789	1807	1395	1411
high	10	shadda.a.2	False	0.8137194	0.0	4	209	227	1065	1081
high	10	shadda.a.2	False	0.8242567	0.0	4	696	714	960	976
high	10	shadda.a.2	False	0.83485746	0.0	4	859	877	518	534
high	10	shadda.a.2	False	0.8538249	0.0	4	289	307	995	1011
high	10	shadda.a.2	False	0.91573095	0.0	4	1618	1636	269	285
high	11	shadda.a	False	0.8019965	0.0	4	1549	1567	845	861
high	11	shadda.a	False	0.8021636	0.0	4	1623	1641	1092	1108
high	11	shadda.a	False	0.80719894	0.0	4	455	473	1288	1304
high	11	shadda.a	False	0.8099451	0.0	4	1624	1642	1114	1130
high	11	shadda.a	False	0.81287503	0.0	4	1107	1125	1187	1203
high	11	shadda.a	False	0.8176035	0.0	4	1542	1560	1387	1403
high	11	shadda.a	False	0.8217298	0.0	4	1789	1807	1396	1412
high	11	shadda.a	False	0.8305843	0.0625	4	1611	1629	396	412
high	11	shadda.a	False	0.8323027	0.0	4	1021	1039	661	677
high	11	shadda.a	False	0.834635	0.0	4	697	715	961	977
high	11	shadda.a	False	0.83794904	0.0	4	290	308	996	1012
high	11	shadda.a	False	0.8385503	0.0	4	859	877	519	535
high	11	shadda.a	False	0.8435924	0.0	4	1551	1569	966	982
high	11	shadda.a	False	0.8592177	0.0	4	1097	1115	1335	1351
high	11	shadda.a	False	0.88091475	0.0	4	1619	1637	269	285
