stripe	column	line	left	top	right	bottom	confidence	text
1	l	0	1028	373	1028	449	100	ا
1	l	0	1021	373	1021	449	60	ٔ
1	l	0	1001	373	1007	449	100	ع
1	l	0	973	373	980	449	100	م
1	l	0	939	373	946	449	100	م
1	l	0	911	373	918	449	100	ن
1	l	0	884	373	884	449	100	ا
1	l	0	870	373	877	449	100	ل
1	l	0	850	373	850	449	100	م
1	l	0	829	373	829	449	100	ب
1	l	0	808	373	815	449	100	ا
1	l	0	795	373	795	449	100	د
1	l	0	767	373	767	449	100	ى
1	l	0	733	373	733	449	100	ء
1	l	0	671	373	678	449	100	و
1	l	0	644	373	644	449	95	ه
1	l	0	623	373	623	449	100	و
1	l	0	582	373	589	449	98	م
1	l	0	561	373	568	449	100	ا
1	l	0	541	373	541	449	100	ي
1	l	0	527	373	527	449	93	ت
1	l	0	513	373	513	449	100	و
1	l	0	486	373	486	449	53	ق
1	l	0	465	373	472	449	100	ف
1	l	0	397	373	403	449	100	ع
1	l	0	376	373	383	449	100	ل
1	l	0	362	373	362	449	100	ي
1	l	0	349	373	349	449	100	ه
1	l	0	321	373	328	449	100	ا
1	l	0	307	373	314	449	100	ل
1	l	0	287	373	287	449	99	م
1	l	0	259	373	266	449	100	س
1	l	0	232	373	239	449	100	ا
1	l	0	218	373	225	449	100	ي
1	l	0	211	373	211	449	100	ٔ
1	l	0	204	373	204	449	88	ل
1	l	0	163	373	163	449	100	ب
1	l	0	143	373	150	449	100	ل
1	l	0	129	373	136	449	100	ا
1	l	1	1021	458	1021	544	100	و
1	l	1	1000	458	1007	544	100	ا
1	l	1	979	458	986	544	100	س
1	l	1	944	458	944	544	100	ط
1	l	1	923	458	923	544	89	ة
1	l	1	859	458	859	544	100	و
1	l	1	838	458	838	544	100	ا
1	l	1	824	458	831	544	97	ل
1	l	1	796	458	803	544	100	م
1	l	1	782	458	782	544	100	ق
1	l	1	761	458	761	544	96	د
1	l	1	733	458	733	544	100	م
1	l	1	712	458	712	544	100	ة
1	l	1	677	458	677	544	99	م
1	l	1	656	458	663	544	98	ا
1	l	1	635	458	635	544	97	ي
1	l	1	621	458	621	544	99	ت
1	l	1	600	458	607	544	100	و
1	l	1	578	458	578	544	75	ق
1	l	1	557	458	564	544	100	ف
1	l	1	487	458	487	544	93	ع
1	l	1	466	458	466	544	100	ل
