stripe	column	line	left	top	right	bottom	confidence	text
0		1	672	51	1187	218	58	بواثاعٔيلعيم
0		2	1465	367	1541	452	99	الحمد
0		2	1404	367	1429	452	100	له
0		2	1311	367	1386	452	100	منزل
0		2	1185	367	1293	452	97	الحكم
0		2	1106	367	1152	452	100	على
0		2	998	367	1080	452	89	قلوب
0		2	867	367	976	452	88	الكلم
0		2	727	367	854	452	95	بأحدية
0		2	587	367	710	452	99	الطريق
0		2	522	367	566	452	100	الأ
0		2	458	367	504	452	96	مم
0		2	386	367	425	452	100	من
0		2	231	367	364	452	98	المقـام
0		2	166	367	184	452	100	1
0		3	1474	461	1605	543	93	الأقـدم
0		3	1396	461	1457	543	100	وإن
0		3	1245	461	1379	543	99	اختلفت
0		3	1128	461	1221	543	94	النحل
0		3	1009	461	1101	543	98	والمل
0		3	837	461	982	543	97	لاختلاف
0		3	725	461	810	543	97	الأمم
0		3	690	461	704	543	100	.
0		3	580	461	670	543	97	وصلى
0		3	502	461	550	543	100	اله
0		3	427	461	471	543	98	على
0		3	320	461	396	543	100	مد5
0		3	245	461	304	543	89	(2)
0		4	1504	552	1605	631	97	الهمم
0		4	1424	552	1467	631	100	من
0		4	1294	552	1397	631	100	خزائن
0		4	1187	552	1277	631	99	الجود
0		4	1022	552	1166	631	97	والكرم
0		4	882	552	983	631	94	بالقيل
0		4	738	552	856	631	100	الأقوم
0		4	641	552	698	631	92	محمد
0		4	554	552	622	631	98	وعلى
0		4	478	552	535	631	100	آله
0		4	377	552	457	631	84	وسلم
0		4	337	552	360	631	84	.
0		5	1480	640	1539	725	98	أما
0		5	1395	640	1468	725	100	بعد
0		5	1289	640	1347	725	93	فإني
0		5	1175	640	1269	725	99	رأيت
0		5	1052	640	1148	725	99	رسول
0		5	980	640	1029	725	91	الله
0		5	901	640	959	725	73	صلى
0		5	836	640	885	725	99	الله
0		5	751	640	815	725	99	عليه
0		5	655	640	727	725	96	وسلم
0		5	610	640	634	725	94	في
0		5	452	640	586	725	97	مبشرة
0		5	301	640	439	725	94	أريتها
0		5	243	640	284	725	94	في
0		6	1515	734	1605	819	97	العشر
0		6	1394	734	1497	819	95	الآخر
0		6	1328	734	1373	819	100	من
0		6	1229	734	1307	819	100	محرم
0		6	1163	734	1214	819	99	(3)
0		6	1091	734	1151	819	98	سنة
0		6	1000	734	1066	819	93	سبع
0		6	826	734	982	819	99	وعشرون
0		6	687	734	796	819	98	وستمائة
0		6	519	734	666	819	100	بمحروسة
0		6	393	734	501	819	92	دمشق
0		6	242	734	350	819	100	وبيده
0		7	1542	828	1599	903	100	صلى
0		7	1479	828	1521	903	96	الله
0		7	1391	828	1460	903	97	عليه
0		7	1301	828	1373	903	100	وسلم
0		7	1181	828	1277	903	88	كتاب
0		7	1075	828	1141	903	91	فقال
0		7	1012	828	1048	903	90	لي
0		7	897	828	973	903	97	هذا
0		7	771	828	855	903	90	كتاب
0		7	635	828	747	903	100	فصوص
0		7	503	828	605	903	100	الحكم
0		7	392	828	464	903	100	خذه
0		7	241	828	373	903	99	واخرج
0		8	1570	912	1601	994	78	به
0		8	1509	912	1554	994	92	إلى
0		8	1405	912	1484	994	99	الناس
0		8	1242	912	1376	994	94	ينتفعون
0		8	1176	912	1226	994	78	به
0		8	1036	912	1135	994	94	فقلت
0		8	897	912	995	994	95	المع
0		8	751	912	877	994	99	والطاعة
0		8	696	912	728	994	87	لله
0		8	537	912	680	994	93	ولرسوله
0		8	427	912	519	994	90	وأولي
0		8	321	912	404	994	82	الأمر
0		8	242	912	299	994	90	منا
0		9	1562	1003	1595	1082	96	ك
0		9	1405	1003	1529	1082	89	أمرنا
0		9	1360	1003	1379	1082	99	.
0		9	1188	1003	1334	1082	100	فحققت
0		9	1017	1003	1161	1082	97	الأمنيـة
0		9	832	1003	988	1082	100	وأخلصت
0		9	724	1003	809	1082	95	النية
0		9	561	1003	698	1082	93	وجردت
0		9	443	1003	542	1082	95	القصد
0		9	319	1003	420	1082	100	والممة
0		9	238	1003	300	1082	89	إلى
0		10	1516	1091	1601	1173	91	إبراز
0		10	1361	1091	1485	1173	93	هـذا
0		10	1222	1091	1352	1173	96	الكتاب
0		10	1146	1091	1187	1173	89	كما
0		10	1045	1091	1124	1173	95	حده
0		10	1003	1091	1029	1173	92	لي
0		10	883	1091	981	1173	100	رسول
0		10	813	1091	858	1173	99	الله
0		10	734	1091	795	1173	100	صلى
0		10	671	1091	718	1173	98	الله
0		10	582	1091	649	1173	99	عليه
0		10	487	1091	560	1173	99	وسلم
0		10	426	1091	468	1173	94	من
0		10	354	1091	402	1173	100	غير
0		10	240	1091	335	1173	85	زيادة
0		11	1534	1182	1563	1265	99	2
0		11	1447	1182	1512	1265	82	-1
0		11	1365	1182	1410	1265	100	ولا
0		11	1215	1182	1345	1265	95	نقصان
0		11	1052	1182	1169	1265	84	وسألت
0		11	981	1182	1029	1265	96	الله
0		11	882	1182	960	1265	97	تعالى
0		11	820	1182	860	1265	91	أن
0		11	703	1182	797	1265	90	يجعلني
0		11	631	1182	680	1265	92	فيه
0		11	559	1182	612	1265	90	وفي
0		11	453	1182	534	1265	97	جميـع
0		11	322	1182	436	1265	99	أحوالي
0		11	237	1182	295	1265	100	من
0		12	1504	1274	1598	1356	99	عباده
0		12	1403	1274	1481	1356	90	الذين
0		12	1318	1274	1384	1356	87	ليس
0		12	1142	1274	1286	1356	99	لشيطان
0		12	1022	1274	1119	1356	87	عليهم
0		12	875	1274	995	1356	99	سطان
0		12	761	1274	826	1356	92	وأن
0		12	601	1274	735	1356	96	يخصني
0		12	549	1274	578	1356	100	في
0		12	442	1274	526	1356	96	جميع
0		12	390	1274	422	1356	100	ما
0		12	240	1274	376	1356	100	يرقمه
0		13	1497	1365	1605	1441	99	 بناني
0		13	1358	1365	1464	1441	97	وينطق
0		13	1269	1365	1334	1441	100	بـه
0		13	1155	1365	1240	1441	85	لساني
0		13	996	1365	1132	1441	98	وينطوي
0		13	889	1365	967	1441	100	عليه
0		13	762	1365	853	1441	95	جناني
0		13	615	1365	729	1441	100	بالالقاء
0		13	420	1365	596	1441	92	السيبوحي
0		13	241	1365	390	1441	96	والنفث
0		14	1472	1450	1605	1532	92	الروحي
0		14	1411	1450	1436	1532	100	في
0		14	1270	1450	1389	1532	91	الرٔوع
0		14	1120	1450	1238	1532	96	النفسي
0		14	972	1450	1087	1532	92	بالتأييد
0		14	756	1450	951	1532	97	الاعتصامي
0		14	649	1450	706	1532	100	حتى
0		14	493	1450	627	1532	98	أكون
0		14	289	1450	458	1532	97	مترجمـا
0		14	235	1450	275	1532	99	لا
0		15	1422	1541	1599	1636	86	متحكما
0		15	1251	1541	1377	1636	94	ليتحقق
0		15	1167	1541	1218	1636	99	من
0		15	1071	1541	1140	1636	97	يقف
0		15	887	1541	1023	1636	99	عليـه
0		15	812	1541	863	1636	100	من
0		15	677	1541	782	1636	98	أمل
0		15	587	1541	638	1636	100	الله
0		15	434	1541	572	1636	100	أصحاب
0		15	233	1541	410	1636	93	القلوبر
