level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1774	2658	-1	
2	1	1	0	0	0	176	201	1345	728	-1	
3	1	1	1	0	0	176	201	1345	318	-1	
4	1	1	1	1	0	183	201	1337	81	-1	
5	1	1	1	1	1	1495	205	25	48	48	أ
5	1	1	1	1	2	1402	233	49	35	96	من
5	1	1	1	1	3	1314	213	74	69	95	مقام
5	1	1	1	1	4	1156	219	141	51	93	التقديس
5	1	1	1	1	5	1081	219	56	43	0	املز
5	1	1	1	1	6	1052	213	16	61	37	:
5	1	1	1	1	7	980	233	52	36	94	عن
5	1	1	1	1	8	811	201	147	69	64	االغراض
5	1	1	1	1	9	617	218	115	56	88	النفسبة
5	1	1	1	1	10	546	218	52	51	89	الىت
5	1	1	1	1	11	352	219	177	50	44	يدخلهـــا
5	1	1	1	1	12	209	219	125	54	12	التلبيس
5	1	1	1	1	13	183	249	9	8	89	.
4	1	1	1	2	0	180	282	1341	79	-1	
5	1	1	1	2	1	1403	285	118	64	96	وأرجو
5	1	1	1	2	2	1344	287	40	48	96	أن
5	1	1	1	2	3	1220	292	106	60	96	يكون
5	1	1	1	2	4	1111	294	74	54	0	احلى
5	1	1	1	2	5	1049	294	44	24	72	؟
5	1	1	1	2	6	987	300	42	35	58	ملا
5	1	1	1	2	7	891	314	61	47	76	مع
5	1	1	1	2	8	783	294	91	61	53	دعاين
5	1	1	1	2	9	725	300	40	34	93	قد
5	1	1	1	2	10	604	287	101	62	96	أجاب
5	1	1	1	2	11	502	294	84	61	45	ندائئ
5	1	1	1	2	12	464	278	22	87	57	:
5	1	1	1	2	13	395	301	47	35	93	فما
5	1	1	1	2	14	302	282	76	76	96	ألقي
5	1	1	1	2	15	243	297	39	51	82	إال
5	1	1	1	2	16	180	301	17	35	72	ا
4	1	1	1	3	0	176	362	1338	77	-1	
5	1	1	1	3	1	1418	374	96	63	0	يلقي
5	1	1	1	3	2	1353	380	45	48	95	إيل
5	1	1	1	3	3	1287	358	33	85	70	_
5	1	1	1	3	4	1212	376	50	49	91	وال
5	1	1	1	3	5	1100	362	80	66	96	أنزل
5	1	1	1	3	6	1051	377	30	60	96	يف
5	1	1	1	3	7	964	379	58	35	96	هذا
5	1	1	1	3	8	810	377	133	49	90	املسطور
5	1	1	1	3	9	751	376	39	53	77	إال
5	1	1	1	3	10	683	381	31	33	88	ما
5	1	1	1	3	11	574	375	91	55	87	ينز"ل
5	1	1	1	3	12	527	394	28	34	93	به
5	1	1	1	3	13	452	383	55	49	74	عيل
5	1	1	1	3	14	417	410	8	7	96	.
5	1	1	1	3	15	287	378	107	48	96	ولست
5	1	1	1	3	16	176	378	92	61	59	بني
4	1	1	1	4	0	810	450	711	73	-1	
5	1	1	1	4	1	1419	460	102	47	95	رسول
5	1	1	1	4	2	1256	450	146	73	85	ولكني
5	1	1	1	4	3	1135	463	102	42	94	وارث
5	1	1	1	4	4	961	450	151	71	81	وآلخريت
5	1	1	1	4	5	846	457	112	52	49	حارب
5	1	1	1	4	6	810	490	8	6	90	.
3	1	1	2	0	0	466	533	767	60	-1	
4	1	1	2	1	0	466	533	767	60	-1	
5	1	1	2	1	1	1180	538	53	52	65	مشن
5	1	1	2	1	2	1096	536	38	41	77	اهل
5	1	1	2	1	3	925	542	122	46	26	فامسموا
5	1	1	2	1	4	739	540	71	50	92	وإىل
5	1	1	2	1	5	649	533	43	42	91	اهلل
5	1	1	2	1	6	466	542	138	51	36	فارجعوا
3	1	1	3	0	0	466	610	766	72	-1	
4	1	1	3	1	0	466	610	766	72	-1	
5	1	1	3	1	1	1170	621	62	50	96	فإذا
5	1	1	3	1	2	1106	624	31	33	96	ما
5	1	1	3	1	3	990	630	81	52	85	مسعمت
5	1	1	3	1	4	923	622	30	35	93	ما
5	1	1	3	1	5	842	606	40	80	83	_
5	1	1	3	1	6	723	610	85	64	93	أتيت
5	1	1	3	1	7	620	634	57	35	62	بها
