stripe	column	line	left	top	right	bottom
0		1	411	424	1624	485
0		2	411	495	1698	559
0		3	411	569	1698	628
0		4	411	638	1698	703
0		5	597	713	1698	775
0		6	411	785	1625	847
0		7	411	857	1698	918
0		8	411	928	1698	999
0		9	411	1009	1698	1062
0		10	411	1072	1698	1143
0		11	1584	1153	1698	1205
0		12	411	1223	1624	1286
0		13	411	1296	1698	1366
0		14	443	1376	1698	1434
0		15	411	1444	1698	1498
0		16	411	1508	1698	1569
0		17	774	1579	1698	1648
0		18	411	1658	1623	1725
0		19	411	1735	1698	1799
0		20	411	1809	1698	1865
0		21	411	1875	1698	1939
0		22	411	1949	1698	2016
0		23	1014	2026	1698	2090
0		24	411	2100	1623	2163
0		25	423	2173	1698	2235
0		26	411	2245	1698	2305
0		27	411	2315	1698	2379
0		28	411	2389	1698	2459
