stripe	column	line	left	top	right	bottom	confidence	text
0		2	1355	348	1481	505	84	(
0		2	1336	348	1356	505	99	1
0		2	1331	348	1337	505	100	7
0		2	1280	348	1330	505	100	 
0		2	1243	348	1280	505	100	ب
0		2	1198	348	1242	505	83	ا
0		2	1142	348	1199	505	60	 
0		2	1129	348	1141	505	100	ا
0		2	1104	348	1129	505	99	ٔ
0		2	1073	348	1104	505	100	خ
0		2	1054	348	1072	505	100	ب
0		2	1035	348	1053	505	100	ا
0		2	1010	348	1034	505	100	ر
0		2	972	348	1009	505	100	 
0		2	934	348	971	505	100	س
0		2	903	348	934	505	100	و
0		2	890	348	902	505	98	ل
0		2	859	348	890	505	99	و
0		2	814	348	858	505	97	ن
0		2	777	348	814	505	100	 
0		2	746	348	776	505	100	ا
0		2	727	348	745	505	100	ل
0		2	695	348	726	505	96	ح
0		2	651	348	695	505	94	ك
0		2	638	348	650	505	99	ي
0		2	229	348	638	505	100	م
0		3	1440	556	1513	657	89	ت
0		3	1426	556	1441	657	78	ت
0		3	1397	556	1426	657	53	ن
0		3	1363	556	1397	657	53	(
0		3	1343	556	1363	657	94	1
0		3	1324	556	1344	657	98	)
0		3	1295	556	1324	657	96	س
0		3	1275	556	1295	657	94	و
0		3	1261	556	1276	657	93	ل
0		3	1246	556	1261	657	87	و
0		3	1223	556	1247	657	96	ن
0		3	1208	556	1222	657	79	 
0		3	1188	556	1208	657	74	ب
0		3	1169	556	1189	657	43	ن
0		3	1155	556	1169	657	57	 
0		3	1120	556	1154	657	62	ا
0		3	1091	556	1121	657	52	ك
0		3	1077	556	1092	657	94	س
0		3	1052	556	1077	657	93	ي
0		3	1029	556	1053	657	99	ك
0		3	1014	556	1028	657	57	ا
0		3	985	556	1014	657	100	س
0		3	961	556	985	657	77	ط
0		3	946	556	961	657	42	ي
0		3	927	556	947	657	99	ذ
0		3	888	556	927	657	91	ي
0		3	854	556	888	657	94	 
0		3	839	556	854	657	54	(
0		3	825	556	840	657	99	3
0		3	810	556	825	657	100	)
0		3	796	556	811	657	100	ا
0		3	781	556	796	657	100	ل
0		3	767	556	782	657	100	ل
0		3	748	556	767	657	100	ح
0		3	719	556	747	657	99	ك
0		3	709	556	718	657	100	ي
0		3	699	556	709	657	97	م
0		3	671	556	699	657	100	 
0		3	636	556	670	657	98	ك
0		3	622	556	636	657	100	ت
0		3	612	556	621	657	49	ب
0		3	602	556	612	657	100	ا
0		3	578	556	602	657	55	 
0		3	549	556	578	657	100	ك
0		3	535	556	549	657	100	ث
0		3	525	556	534	657	97	ي
0		3	500	556	525	657	100	ر
0		3	486	556	501	657	82	ة
0		3	476	556	486	657	100	 
0		3	457	556	476	657	100	ف
0		3	447	556	457	657	100	ي
0		3	428	556	447	657	97	ه
0		3	403	556	428	657	100	ا
0		3	389	556	404	657	49	ع
0		3	380	556	389	657	63	ل
0		3	370	556	379	657	70	م
0		3	360	556	370	657	100	 
0		3	350	556	360	657	100	ا
0		3	331	556	350	657	100	ل
0		3	306	556	331	657	70	ص
0		3	287	556	307	657	100	ا
0		3	273	556	288	657	82	ل
0		3	263	556	273	657	99	ح
0		3	244	556	263	657	99	ا
0		3	142	556	243	657	100	ت
0		4	1537	666	1567	744	100	م
0		4	1528	666	1536	744	100	ل
0		4	1515	666	1528	744	99	و
0		4	1498	666	1515	744	98	ء
0		4	1481	666	1497	744	90	ة
0		4	1454	666	1480	744	100	 
0		4	1432	666	1454	744	100	م
0		4	1406	666	1432	744	100	ن
0		4	1380	666	1406	744	99	 
0		4	1367	666	1380	744	75	ل
0		4	1350	666	1367	744	97	ل
0		4	1337	666	1349	744	99	و
0		4	1315	666	1336	744	100	ا
0		4	1293	666	1314	744	76	ع
0		4	1258	666	1293	744	100	ظ
0		4	1232	666	1258	744	98	 
0		4	1215	666	1232	744	96	.
0		4	1184	666	1215	744	93	 
0		4	1162	666	1184	744	99	و
0		4	1145	666	1162	744	97	ك
0		4	1132	666	1145	744	100	ا
0		4	1101	666	1132	744	99	ن
0		4	1080	666	1102	744	100	(
0		4	1063	666	1079	744	75	3
0		4	1045	666	1062	744	61	)
0		4	1019	666	1045	744	100	 
0		4	988	666	1018	744	99	م
0		4	945	666	988	744	100	 
0		4	936	666	944	744	94	ا
0		4	923	666	936	744	98	ٔ
0		4	906	666	923	744	99	ه
0		4	884	666	905	744	96	ل
0		4	849	666	884	744	100	 
0		4	841	666	849	744	78	ا
0		4	832	666	840	744	100	ٔ
0		4	823	666	831	744	96	ث
0		4	810	666	822	744	84	ي
0		4	797	666	809	744	90	ن
0		4	780	666	796	744	100	ا
0		4	753	666	779	744	100	س
0		4	714	666	753	744	100	 
0		4	688	666	714	744	100	م
0		4	671	666	688	744	90	د
0		4	653	666	670	744	100	ي
0		4	636	666	653	744	100	ن
0		4	618	666	635	744	99	ة
0		4	597	666	618	744	100	 
0		4	588	666	596	744	100	ا
0		4	562	666	587	744	100	ل
0		4	544	666	561	744	95	ح
0		4	518	666	544	744	96	ك
0		4	497	666	518	744	100	ا
0		4	484	666	496	744	92	ء
0		4	453	666	483	744	100	 
0		4	440	666	452	744	100	ف
0		4	422	666	439	744	67	ي
0		4	397	666	422	744	100	 
0		4	388	666	396	744	100	ا
0		4	370	666	387	744	99	ل
0		4	357	666	370	744	100	ز
0		4	344	666	357	744	100	م
0		4	322	666	344	744	84	ا
0		4	300	666	322	744	97	ن
0		4	275	666	300	744	100	 
0		4	257	666	274	744	100	ا
0		4	248	666	256	744	100	ل
0		4	240	666	248	744	98	ا
0		4	222	666	239	744	100	ٔ
0		4	209	666	222	744	100	و
0		4	148	666	209	744	68	ل
0		5	1553	753	1566	857	49	ا
0		5	1535	753	1552	857	100	ل
0		5	1526	753	1534	857	58	ت
0		5	1507	753	1525	857	100	ي
0		5	1481	753	1508	857	100	 
0		5	1449	753	1480	857	100	ا
0		5	1421	753	1448	857	99	ق
0		5	1398	753	1421	857	74	ل
0		5	1363	753	1399	857	100	 
0		5	1354	753	1362	857	63	ا
0		5	1317	753	1353	857	100	ل
0		5	1290	753	1318	857	99	ك
0		5	1264	753	1291	857	99	(
0		5	1250	753	1263	857	100	4
0		5	1232	753	1250	857	83	)
0		5	1210	753	1232	857	100	 
0		5	1201	753	1209	857	99	ا
0		5	1192	753	1200	857	98	ٕ
0		5	1183	753	1191	857	99	ل
0		5	1169	753	1182	857	92	ي
0		5	1156	753	1169	857	99	ه
0		5	1132	753	1155	857	100	ا
0		5	1110	753	1132	857	76	 
0		5	1091	753	1109	857	55	.
0		5	1060	753	1092	857	100	 
0		5	1037	753	1060	857	100	و
0		5	1015	753	1038	857	92	ع
0		5	997	753	1015	857	94	و
0		5	966	753	997	857	99	 
0		5	952	753	965	857	94	و
0		5	934	753	952	857	81	ا
0		5	911	753	934	857	74	ض
0		5	884	753	912	857	95	ع
0		5	857	753	885	857	99	 
0		5	848	753	857	857	100	ا
0		5	830	753	847	857	99	ل
0		5	807	753	829	857	100	ش
0		5	785	753	807	857	100	ر
0		5	767	753	784	857	95	ا
0		5	753	753	766	857	100	ٔ
0		5	735	753	753	857	73	ع
0		5	708	753	735	857	100	 
0		5	695	753	708	857	42	ل
0		5	686	753	694	857	100	ه
0		5	636	753	685	857	100	م
0		5	578	753	636	857	100	 
0		5	568	753	577	857	84	ا
0		5	554	753	568	857	100	ل
0		5	541	753	554	857	96	ت
0		5	518	753	540	857	98	ي
0		5	473	753	518	857	100	 
0		5	450	753	473	857	99	ق
0		5	410	753	451	857	100	ض
0		5	374	753	410	857	100	 
0		5	356	753	374	857	99	ب
0		5	343	753	356	857	100	ه
0		5	325	753	342	857	99	ا
0		5	298	753	324	857	100	 
0		5	289	753	297	857	99	ن
0		5	279	753	288	857	100	و
0		5	261	753	279	857	100	ا
0		5	243	753	260	857	100	م
0		5	229	753	242	857	85	ي
0		5	139	753	229	857	96	س
0		6	1543	866	1563	945	96	ذ
0		6	1526	866	1542	945	99	ر
0		6	1509	866	1525	945	98	ا
0		6	1493	866	1509	945	100	ق
0		6	1476	866	1492	945	77	و
0		6	1451	866	1475	945	100	ن
0		6	1438	866	1450	945	100	 
0		6	1426	866	1438	945	99	(
0		6	1409	866	1425	945	58	5
0		6	1392	866	1408	945	98	)
0		6	1371	866	1392	945	99	 
0		6	1359	866	1371	945	100	ل
0		6	1342	866	1358	945	100	ل
0		6	1329	866	1341	945	100	ل
0		6	1317	866	1329	945	100	ر
0		6	1284	866	1316	945	100	ق
0		6	1250	866	1283	945	100	 
0		6	1233	866	1249	945	99	.
0		6	1208	866	1233	945	100	 
0		6	1192	866	1208	945	99	و
0		6	1179	866	1191	945	100	ل
0		6	1167	866	1179	945	94	م
0		6	1145	866	1166	945	100	 
0		6	1133	866	1145	945	67	ي
0		6	1116	866	1132	945	100	ن
0		6	1096	866	1116	945	93	ق
0		6	1057	866	1095	945	65	ض
0		6	1020	866	1058	945	97	 
0		6	1012	866	1020	945	55	ا
0		6	995	866	1011	945	88	ل
0		6	983	866	995	945	98	ن
0		6	966	866	982	945	85	و
0		6	949	866	965	945	88	ا
0		6	936	866	948	945	99	م
0		6	920	866	936	945	100	ي
0		6	886	866	919	945	99	س
0		6	853	866	886	945	99	 
0		6	844	866	852	945	100	ا
0		6	824	866	844	945	70	ل
0		6	799	866	823	945	66	ت
0		6	761	866	798	945	100	 
0		6	736	866	760	945	100	ج
0		6	723	866	735	945	100	ا
0		6	707	866	723	945	100	ء
0		6	690	866	706	945	77	ت
0		6	669	866	689	945	100	ه
0		6	648	866	668	945	100	م
0		6	623	866	647	945	99	 
0		6	606	866	622	945	77	م
0		6	581	866	606	945	100	ن
0		6	552	866	580	945	100	 
0		6	535	866	551	945	100	ف
0		6	519	866	535	945	84	و
0		6	493	866	518	945	100	ي
0		6	481	866	493	945	100	ن
0		6	460	866	480	945	96	ي
0		6	439	866	459	945	100	ك
0		6	409	866	438	945	100	س
0		6	384	866	409	945	99	 
0		6	368	866	384	945	100	(
0		6	355	866	367	945	100	6
0		6	335	866	355	945	50	)
0		6	309	866	334	945	100	 
0		6	297	866	309	945	100	.
0		6	276	866	296	945	100	 
0		6	255	866	275	945	100	و
0		6	234	866	254	945	96	و
0		6	209	866	233	945	100	ض
0		6	171	866	208	945	100	ع
0		7	1534	954	1559	1044	100	ك
0		7	1521	954	1533	1044	43	ت
