page	stripe	column	line	left	top	right	bottom	confidence	letters	punc
47	0		1	1785	99	2375	441	56	بنزٕليلالع	 
47	0		1	1211	99	1784	441	64	يلرعا	
47	0		2	2841	736	3063	914	94	الحمد	 
47	0		2	2763	736	2842	914	99	له	 
47	0		2	2569	736	2762	914	94	منزل	 
47	0		2	2296	736	2569	914	91	الحك	 
47	0		2	2161	736	2297	914	94	على	 
47	0		2	1952	736	2160	914	89	قلوب	 
47	0		2	1702	736	1952	914	92	الكلم	 
47	0		2	1407	736	1701	914	93	بأحدية	 
47	0		2	1135	736	1408	914	98	الطريق	 
47	0		2	856	736	1135	914	100	الأمم	 
47	0		2	733	736	855	914	90	من	 
47	0		2	360	736	734	914	98	المقـام	 
47	0		2	339	736	361	914	97	ا	
47	0		3	2910	923	3201	1093	91	الأقـدم	 
47	0		3	2755	923	2911	1093	99	وإن	 
47	0		3	2444	923	2755	1093	92	اختلفت	 
47	0		3	2207	923	2444	1093	99	النحل	 
47	0		3	1958	923	2208	1093	99	والملل	 
47	0		3	1620	923	1957	1093	94	لاختلاف	 
47	0		3	1403	923	1619	1093	99	الأمم	 
47	0		3	1342	923	1403	1093	100		. 
47	0		3	1106	923	1343	1093	94	وصلى	 
47	0		3	944	923	1105	1093	100	الله	 
47	0		3	787	923	943	1093	99	على	 
47	0		3	606	923	788	1093	96	مد5	 
47	0		3	579	923	605	1093	97		(
47	0		3	504	923	538	1093	100		)
47	0		4	2998	1102	3201	1271	90	الهمم	 
47	0		4	2937	1102	2998	1271	93		، 
47	0		4	2796	1102	2938	1271	100	من	 
47	0		4	2552	1102	2795	1271	93	خزائن	 
47	0		4	2335	1102	2551	1271	100	الجود	 
47	0		4	2030	1102	2335	1271	100	والكرم	 
47	0		4	1963	1102	2031	1271	86		، 
47	0		4	1713	1102	1964	1271	99	بالقيل	 
47	0		4	1462	1102	1712	1271	98	الأقوم	 
47	0		4	1402	1102	1463	1271	87		، 
47	0		4	1245	1102	1401	1271	100	محمد	 
47	0		4	1063	1102	1246	1271	99	وعلى	 
47	0		4	907	1102	1063	1271	93	آله	 
47	0		4	718	1102	908	1271	99	وسلم	 
47	0		4	691	1102	719	1271	100		.
47	0		5	2931	1280	3068	1459	94	أما	 
47	0		5	2773	1280	2931	1459	94	بعد	 
47	0		5	2691	1280	2774	1459	100		: 
47	0		5	2534	1280	2692	1459	90	فإني	 
47	0		5	2294	1280	2534	1459	99	رأيت	 
47	0		5	2055	1280	2295	1459	99	رسول	 
47	0		5	1919	1280	2055	1459	97	الله	 
47	0		5	1768	1280	1918	1459	84	صلى	 
47	0		5	1631	1280	1767	1459	99	الله	 
47	0		5	1453	1280	1630	1459	91	عليه	 
47	0		5	1267	1280	1452	1459	92	وسلم	 
47	0		5	1172	1280	1268	1459	84	في	 
47	0		5	878	1280	1172	1459	96	مبشرة	 
47	0		5	569	1280	877	1459	94	أريتها	 
47	0		5	501	1280	570	1459	84	في	
47	0		6	2997	1468	3202	1639	93	العشر	 
47	0		6	2745	1468	2997	1639	100	الآخر	 
47	0		6	2612	1468	2745	1639	97	من	 
47	0		6	2420	1468	2612	1639	99	محرم	 
47	0		6	2396	1468	2420	1639	87		(
47	0		6	2299	1468	2359	1639	81		) 
47	0		6	2137	1468	2299	1639	95	سنة	 
47	0		6	1968	1468	2137	1639	99	سبع	 
47	0		6	1595	1468	1968	1639	93	وعشرون	 
47	0		6	1330	1468	1595	1639	98	وستمائة	 
47	0		6	1006	1468	1330	1639	99	بمحروسة	 
47	0		6	759	1468	1005	1639	98	دمشق	 
47	0		6	705	1468	759	1639	100		، 
47	0		6	500	1468	705	1639	83	وبيده	
47	0		7	3038	1648	3191	1811	100	صلى	 
47	0		7	2910	1648	3039	1811	97	الله	 
47	0		7	2740	1648	2911	1811	96	عليه	 
47	0		7	2542	1648	2741	1811	99	وسلم	 
47	0		7	2343	1648	2543	1811	100	كتاب	 
47	0		7	2279	1648	2344	1811	97		، 
47	0		7	2098	1648	2280	1811	94	فقال	 
47	0		7	2011	1648	2099	1811	98	لي	 
47	0		7	1946	1648	2011	1811	100		: 
47	0		7	1788	1648	1947	1811	100	هذا	 
47	0		7	1730	1648	1789	1811	91		«
47	0		7	1491	1648	1672	1811	91	تاب	 
47	0		7	1205	1648	1491	1811	100	فصوص	 
47	0		7	930	1648	1205	1811	96	الحكم	» 
47	0		7	743	1648	931	1811	89	خذه	 
47	0		7	498	1648	744	1811	99	واخرج	
47	0		8	3114	1820	3201	1989	99	به	 
47	0		8	2976	1820	3114	1989	99	إلى	 
47	0		8	2757	1820	2976	1989	94	الناس	 
47	0		8	2450	1820	2756	1989	100	ينتفعون	 
47	0		8	2337	1820	2449	1989	99	به	 
47	0		8	2268	1820	2336	1989	100		، 
47	0		8	2049	1820	2267	1989	99	فقلت	 
47	0		8	1998	1820	2048	1989	98		: 
47	0		8	1754	1820	1998	1989	99	المع	 
47	0		8	1447	1820	1753	1989	100	والطاعة	 
47	0		8	1366	1820	1446	1989	100	له	 
47	0		8	1040	1820	1365	1989	99	ولرسوله	 
47	0		8	807	1820	1039	1989	91	وأولي	 
47	0		8	601	1820	807	1989	90	الأمر	 
47	0		8	500	1820	600	1989	98	منا	
47	0		9	3055	1998	3188	2167	72	كما	 
47	0		9	2753	1998	3054	2167	88	أمرنا	 
47	0		9	2659	1998	2754	2167	76		. 
47	0		9	2332	1998	2660	2167	91	فحققنت	 
47	0		9	1977	1998	2332	2167	94	الأمنيـة	 
47	0		9	1623	1998	1978	2167	97	وأخلصت	 
47	0		9	1396	1998	1623	2167	99	النية	 
47	0		9	1088	1998	1395	2167	92	وجردت	 
47	0		9	840	1998	1088	2167	92	القصد	 
47	0		9	594	1998	841	2167	100	والممة	 
47	0		9	493	1998	593	2167	100	إلى	
47	0		10	2968	2176	3201	2352	99	إبراز	 
47	0		10	2708	2176	2967	2352	100	هـذا	 
47	0		10	2378	2176	2707	2352	97	الكتاب	 
47	0		10	2252	2176	2378	2352	99	كما	 
47	0		10	2062	2176	2252	2352	90	حده	 
47	0		10	1961	2176	2061	2352	99	لي	 
47	0		10	1720	2176	1960	2352	90	رسول	 
47	0		10	1593	2176	1719	2352	99	الله	 
47	0		10	1428	2176	1593	2352	100	صلى	 
47	0		10	1301	2176	1428	2352	100	الله	 
47	0		10	1124	2176	1301	2352	100	عليه	 
47	0		10	941	2176	1124	2352	99	وسلم	 
47	0		10	807	2176	940	2352	99	من	 
47	0		10	668	2176	807	2352	100	غير	 
47	0		10	497	2176	668	2352	99	زيادة	
47	0		11	3144	2361	3195	2532	99		(
47	0		11	3028	2361	3079	2532	99		 
47	0		11	2956	2361	3028	2532	99		- 
47	0		11	2822	2361	2957	2532	95	1	) 
47	0		11	2693	2361	2821	2532	96	ولا	 
47	0		11	2422	2361	2693	2532	100	نقصان	 
47	0		11	2345	2361	2422	2532	100		؛ 
47	0		11	2056	2361	2345	2532	95	وسألت	 
47	0		11	1920	2361	2055	2532	99	الله	 
47	0		11	1721	2361	1920	2532	92	تعالى	 
47	0		11	1598	2361	1720	2532	96	أن	 
47	0		11	1366	2361	1598	2532	96	يجعلني	 
47	0		11	1224	2361	1366	2532	99	فيه	 
47	0		11	1070	2361	1224	2532	100	وفي	 
47	0		11	870	2361	1070	2532	96	جميـع	 
47	0		11	593	2361	870	2532	96	أحوالي	 
47	0		11	490	2361	593	2532	100	من	
47	0		12	2967	2541	3195	2715	99	عباده	 
47	0		12	2772	2541	2966	2715	98	الذين	 
47	0		12	2563	2541	2771	2715	99	ليس	 
47	0		12	2236	2541	2562	2715	100	للشيطان	 
47	0		12	1995	2541	2237	2715	99	عليهم	 
47	0		12	1716	2541	1995	2715	100	سطان	 
47	0		12	1656	2541	1715	2715	100		، 
47	0		12	1480	2541	1656	2715	100	وأن	 
47	0		12	1161	2541	1481	2715	99	يخصني	 
47	0		12	1057	2541	1161	2715	94	في	 
47	0		12	848	2541	1057	2715	99	جميع	 
47	0		12	757	2541	848	2715	94	ما	 
47	0		12	496	2541	757	2715	91	يرقمه	
47	0		13	2943	2724	3195	2886	100	بناني	 
47	0		13	2673	2724	2944	2886	95	وينطق	 
47	0		13	2488	2724	2672	2886	87	بـه	 
47	0		13	2269	2724	2487	2886	99	لساني	 
47	0		13	1945	2724	2270	2886	91	وينطوي	 
47	0		13	1715	2724	1946	2886	97	عليه	 
47	0		13	1463	2724	1714	2886	93	جناني	 
47	0		13	1192	2724	1463	2886	100	بالالقاء	 
47	0		13	775	2724	1192	2886	98	السثبوحي	 
47	0		13	498	2724	776	2886	100	والنفث	
47	0		14	2868	2895	3201	3065	96	الروحي	 
47	0		14	2776	2895	2868	3065	99	في	 
47	0		14	2478	2895	2776	3065	97	الروع	 
47	0		14	2174	2895	2478	3065	91	النفسي	 
47	0		14	1897	2895	2173	3065	97	بالتأييد	 
47	0		14	1479	2895	1897	3065	95	الاعتصامي	 
47	0		14	1415	2895	1479	3065	100		؛ 
47	0		14	1259	2895	1416	3065	95	حتى	 
47	0		14	912	2895	1259	3065	100	أكون	 
47	0		14	551	2895	912	3065	100	مترجمـا	 
47	0		14	487	2895	551	3065	100	لا	
47	0		15	2836	3074	3196	3275	100	متحكماً	 
47	0		15	2758	3074	2836	3275	100		، 
47	0		15	2428	3074	2758	3275	88	ليتحقق	 
47	0		15	2284	3074	2428	3275	94	من	 
47	0		15	2050	3074	2284	3275	96	يقف	 
47	0		15	1725	3074	2050	3275	90	عليـه	 
47	0		15	1569	3074	1725	3275	100	من	 
47	0		15	1269	3074	1569	3275	100	أهـل	 
47	0		15	1149	3074	1269	3275	100	الله	 
47	0		15	825	3074	1149	3275	100	أصحاب	 
47	0		15	483	3074	825	3275	100	القـلوب	
48	0		1	1625	101	1747	196	78		- 
48	0		1	1688	101	1689	196	78		( 
48	0		1	1545	101	1757	196	100	8	 
48	0		2	2904	393	3047	555	96	أنه	 
48	0		2	2761	393	2904	555	100	من	 
48	0		2	2599	393	2761	555	96	مقام	 
48	0		2	2286	393	2598	555	98	التقديس	 
48	0		2	2051	393	2285	555	100	المنزه	 
48	0		2	1922	393	2052	555	99	عن	 
48	0		2	1584	393	1921	555	97	الأغراض	 
48	0		2	1557	393	1583	555	99		(
48	0		2	1467	393	1519	555	100		) 
48	0		2	1207	393	1466	555	94	النفسية	 
48	0		2	1057	393	1206	555	95	التي	 
48	0		2	673	393	1057	555	100	يدخلهـا	 
48	0		2	380	393	672	555	96	التلبيس	 
48	0		2	354	393	380	555	99		.
48	0		3	2770	564	3046	720	98	وأرجو	 
48	0		3	2659	564	2771	720	98	أن	 
