,page,line,column,span,direction,left,top,right,bottom,word,short,haspunct,punctAfter,punctBefore,QunawiMS,poetryMeter,poetryVerse,fass,lwcvl,quran
347,15,5,1,1,r,346,191,383,212,وَقَدْكَانَ,وقدكان,,,,2a,,,1,,
358,16,1,1,1,r,350,87,402,108,فَـكَانَكَمِرآةٍ,فكانكمرآة,,,,2a,,,1,,
434,16,10,1,1,r,351,321,383,342,وَكَانَتِ,وكانت,,,,2b,,,1,,
452,17,1,1,1,r,346,87,383,108,فَـكَانَتِ,فكانت,,,,2b,,,1,,
1184,23,5,1,1,r,165,191,229,212,وَإِنْكَانَتْ,وإنكانت,,―,,4a,,,1,,
1238,23,12,1,1,r,346,373,383,394,وَإِذَاكَانَ,وإذاكان,,,,4a,,,1,,
1335,24,3,1,1,r,344,139,383,160,وَلَمَّاكَانَ,ولماكان,,,,4a,,,1,,
1366,24,5,1,1,r,184,191,227,212,وَإِنْكَانَ,وإنكان,,,,4b,,,1,,
1377,24,7,1,1,r,291,243,329,264,لَمَّاكَانَ,لماكان,,,,4b,,,1,,
1526,25,7,1,1,r,312,243,360,264,فَلَوْكَانَتْ,فلوكانت,,,,4b,,,1,,
2352,32,6,1,1,r,212,261,265,282,سَوَاءٌكَانَتْ,سواءكانت,,,,6b,,,2,,
3329,41,7,1,1,r,306,243,349,264,وَإِنْكَانَ,وإنكان,,,,8b,,,2,,
3961,46,9,1,1,r,286,295,333,316,وَإِنْكَانَتْ,وإنكانت,,,,9b,,,2,,
3974,46,10,1,1,r,259,321,310,342,وَإِنْكَانَتْ,وإنكانت,,,,9b,,,2,,
4039,46,17,1,1,r,79,503,129,524,وَإِنْكَانَتْ,وإنكانت,,,,9b,,,2,,
4109,47,9,1,1,r,349,295,384,316,وَإِنْكَانَ,وإنكان,,,,10a,,,2,,
4395,49,11,1,1,r,251,347,293,368,وَإِنْكَانَ,وإنكان,,,,10b,,,2,,
4442,50,3,1,1,r,210,139,249,160,الإِمْكَانَ,الإمكان,,,,10b,,,2,,
4658,52,4,1,1,r,96,165,141,186,لِسَانٍكَانَ,لسانكان,,,,11a,,,3,,
4918,55,4,1,1,r,79,165,113,186,إِذَاكَانَ,إذاكان,,,,11b,,,3,,
