,page,line,column,span,direction,left,top,right,bottom,word,short,haspunct,punctAfter,punctBefore,QunawiMS,poetryMeter,poetryVerse,fass,lwcvl,quran
140,10,7,1,1,r,220,243,261,264,بِالإِلْقَاءِ,بالإلقاء,,,,1b,,,0,,
147,11,1,1,1,r,295,87,341,108,بِالتَّـأيِيْدِ,بالتأييد,,,,1b,,,0,,
148,11,1,1,1,r,232,87,290,108,الٱعْتِصَامِي،,الاعتصامي,,،,,1b,,,0,,
386,16,3,1,1,r,357,139,402,160,الٱسْتِعْدَادِ,الاستعداد,,,,2a,,,1,,
415,16,6,1,1,r,213,217,254,238,وَٱنْتِهَاؤُهُ,وانتهاؤه,,,,2b,,,1,,
438,16,10,1,1,r,307,321,351,342,المَلَائِكَةُ,الملائكة,,,,2b,,,1,,
453,16,11,1,1,r,232,347,272,368,بِالإِنْسَانِ,بالإنسان,,,,2b,,,1,,
456,17,1,1,1,r,299,87,346,108,المَلَائِكَةُ,الملائكة,,,,2b,,,1,,
459,17,1,1,1,r,198,87,256,108,الرُّوحَانِيَّةِ,الروحانية,,,,2b,,,1,,
464,17,2,1,1,r,365,113,402,134,الإِنْسَانِيَّةِ.,الإنسانية,,.,,2b,,,1,,
553,18,3,1,1,r,146,139,186,160,إِنْسَانِيَّتُهُ,إنسانيته,,,,2b,,,1,,
607,18,9,1,1,r,82,295,130,316,وَالعَلَامَةُ,والعلامة,,,,2b,,,1,between three dots,
639,18,12,1,1,r,96,373,149,394,فَـٱسْتَخْلَفَهُ,فاستخلفه,,,,3a,,,1,,
697,19,5,1,1,r,362,191,402,212,الإِنْسَانِيَّةِ.,الإنسانية,,.,,3a,,,1,,
710,19,6,1,1,r,300,217,350,238,المَلَائِكَةِ.,الملائكة,,.,,3a,,,1,,
725,19,8,1,1,r,296,269,340,290,المَلَائِكَةَ,الملائكة,,,,3a,,,1,,
755,20,1,1,1,r,110,87,151,108,لِلْمَلَائِكَةِ,للملائكة,,,,3a,,,1,,
857,20,11,1,1,r,107,347,148,368,وَالتَّسْبِيحِ.,والتسبيح,,.,,3a,,,1,,
866,20,12,1,1,r,165,373,207,394,المَلَائِكَةُ,الملائكة,,,,3a,,,1,,
898,21,1,1,1,r,173,87,222,108,بِالتَّقْيِيدِ.,بالتقييد,,.―,,3b,,,1,,
973,21,9,1,1,r,261,295,315,316,المَوْجُودَاتِ,الموجودات,,,,3b,,,1,,
987,22,1,1,1,r,351,87,402,108,المَوجُودَاتِ،,الموجودات,,،,,3b,,,1,,
993,22,1,1,1,r,186,87,229,108,مَعْقُولِيَّتُهَا.,معقوليتها,,.,,3b,,,1,,
1048,22,7,1,1,r,113,243,171,264,المَوجُودَاتِ,الموجودات,,,,3b,,,1,,
1055,22,8,1,1,r,203,269,260,290,المَوْجُودَاتِ,الموجودات,,,,3b,,,1,,
1142,22,16,1,1,r,366,477,402,498,المَعْقُولَةِ.,المعقولة,,.,,4a,,,1,,
1146,23,1,1,1,r,276,87,320,108,الٱرْتِبَاطِ,الارتباط,,,,4a,,,1,,
1148,23,1,1,1,r,205,87,259,108,المَعْقُولَاتِ,المعقولات,,,,4a,,,1,,
1149,23,1,1,1,r,144,87,205,108,وَالمَوْجُودَاتِ,والموجودات,,,,4a,,,1,,
1209,23,8,1,1,r,201,269,251,290,المَوْجُودَةِ،,الموجودة,,،,,4a,,,1,,
1225,23,10,1,1,r,358,321,404,342,كَالإِنْسَانِيَّةِ,كالإنسانية,,,,4a,,,1,,
1245,23,12,1,1,r,302,373,346,394,الٱرْتِبَاطُ,الارتباط,,,,4a,,,1,,
1263,23,13,1,1,r,114,399,172,420,المَوْجُودَاتِ,الموجودات,,,,4a,,,1,,
1284,23,15,1,1,r,207,451,247,472,الٱرْتِبَاطُ,الارتباط,,,,4a,,,1,,
1287,23,15,1,1,r,105,451,150,472,فَبِالجَامِعِ,فبالجامع,,,,4a,,,1,,
1297,23,17,1,1,r,168,503,210,524,وَٱفْتِقَارُهُ,وافتقاره,,,,4a,,,1,,
