,page,line,column,span,direction,left,top,right,bottom,word,short,haspunct,punctAfter,punctBefore,QunawiMS,poetryMeter,poetryVerse,fass,lwcvl,quran
507,17,7,1,1,r,119,243,178,264,مَاتَقْتَضِيهِ,ماتقتضيه,,,,2b,,,1,,
537,18,2,1,1,r,162,113,196,134,مَاأَصْلُ,ماأصل,,,,2b,,,1,,
664,19,2,1,1,r,310,113,343,134,مَاكَانَ,ماكان,,,,3a,,,1,,
809,20,8,1,1,r,381,269,402,290,مَاهُمْ,ماهم,,,,3a,,,1,,
1854,27,10,1,1,r,157,321,192,342,مَاكَانَ,ماكان,,,,5b,,,1,,
2319,32,3,1,1,r,209,183,252,204,مَاتَـكُونُ,ماتكون,,,,6b,,,2,,
2331,32,5,1,1,r,295,235,336,256,مَاتَـكُونُ,ماتكون,,,,6b,,,2,,
2371,32,8,1,1,r,151,313,191,334,مَاتَعْلَمُ,ماتعلم,,,,6b,,,2,,
2487,34,5,1,1,r,148,191,198,212,مَاأَعْطَاهُمُ,ماأعطاهم,,,,6b,,,2,,
2493,34,6,1,1,r,313,217,345,238,مَاقَبِلوهُ,ماقبلوه,,,,6b,,,2,,
2578,35,5,1,1,r,161,191,207,212,مَاٱبْتَلَاهُمُ,ماابتلاهم,,,,7a,,,2,,
2751,36,8,1,1,r,102,269,133,290,مَاكَانَ,ماكان,,,,7a,,,2,,
2765,36,9,1,1,r,79,295,122,316,مَاأَعْطَاهُ,ماأعطاه,,,,7a,,,2,,
2771,36,10,1,1,r,271,321,303,342,مَاكَانَ,ماكان,,,,7a,,,2,,
2822,36,15,1,1,r,346,451,363,472,مَافِي,مافي,,,,7b,,,2,,
3334,41,8,1,1,r,120,269,153,290,مَاذَهَبْنَا,ماذهبنا,,,,8b,,,2,,
3523,43,5,1,1,r,246,191,273,212,مَاهُوَ,ماهو,,,,8b,,,2,,
3561,43,8,1,1,r,278,269,319,290,مَاأَشَـرْتُ,ماأشرت,,,,8b,,,2,,
3603,43,11,1,1,r,96,347,127,368,مَاكَانَ,ماكان,,,,9a,,,2,,
3620,44,3,1,1,r,337,139,369,160,مَاكَانَ,ماكان,,,,9a,,,2,,
3688,44,10,1,1,r,266,321,301,342,مَاعَمَّمَ.,ماعمم,,.,,9a,,,2,,
3699,45,1,1,1,r,374,87,402,108,مَاشَفَعَ,ماشفع,,,,9a,,,2,,
3910,46,4,1,1,r,230,165,256,186,مَاهُوَ,ماهو,,,,9b,,,2,,
4004,46,16,1,1,r,342,477,373,498,مَايَقَعُ,مايقع,,,,9b,,,2,,
4106,47,10,1,1,r,149,321,172,342,مَاهُوَ,ماهو,,,,10a,,,2,,
4162,48,4,1,1,r,255,165,286,186,مَاوَهَبَهُ.,ماوهبه,,.,,10a,,,2,,
4712,52,14,1,1,r,310,425,348,446,مَاحَصَلَ,ماحصل,,,,11a,,,3,,
4803,54,1,1,1,r,79,87,115,108,مَاخَرَجَ,ماخرج,,,,11a,,,3,,
5304,59,8,1,1,r,298,269,338,290,مَاأَنْتَجَهُ,ماأنتجه,,,,12b,,,3,,
5324,60,1,1,1,r,131,87,161,108,مَاكَانَ,ماكان,,,,12b,,,3,,
5382,60,9,1,1,r,311,295,342,316,مَاعُدِمَ,ماعدم,,,,12b,,,3,,
5469,61,8,1,1,r,302,269,337,290,مَاتَرَكُوا,ماتركوا,,,,12b,,,3,,
5531,61,15,1,1,r,113,451,147,472,مَاعُبِدَ,ماعبد,,,,12b,,,3,,
5551,62,3,1,1,r,79,139,118,160,مَاكَانُوا,ماكانوا,,,,12b,,,3,,
5557,62,5,1,1,r,303,191,354,212,مَاتَخَـيَّلَ،,ماتخيل,,،,,12b,,,3,,
5571,62,7,1,1,r,154,243,209,264,﴿مَانَعْبُدُهُمْ,مانعبدهم,,,﴿,13a,,,3,,
5656,63,5,1,1,r,95,191,118,212,مَاهُوَ,ماهو,,,,13a,,,3,,
5749,65,7,1,1,r,262,243,298,264,مَاقَالَ:,ماقال,,:,,13a,,,3,,
5788,66,1,1,1,r,129,87,146,108,مَافِي,مافي,,,,13a,,,3,,
5847,66,11,1,1,r,124,347,168,368,مَافِيهِمْ,مافيهم,,,,13b,,,3,,
5864,67,1,1,1,r,254,87,303,108,مَايُنْتِجُونَ،,ماينتجون,,،,,13b,,,3,,
5875,67,3,1,1,r,199,139,231,160,مَاظَهَرَ,ماظهر,,,,13b,,,3,,
5879,67,4,1,1,r,308,165,344,186,مَاسُـتِـرَ,ماستر,,,,13b,,,3,,
5939,67,13,1,1,r,302,399,350,420,«مَاحَدَّثَتْ,ماحدثت,,,«,13b,,,3,,
6423,75,9,1,1,r,174,295,204,316,مَاظَهَرَ،,ماظهر,,،,,14b,,,4,,
6426,75,9,1,1,r,99,295,131,316,مَابَطَنَ،,مابطن,,،,,14b,,,4,,
6595,77,8,1,1,r,238,269,276,290,مَابَلَغَتْ,مابلغت,,,,15a,,,4,,
6605,77,9,1,1,r,169,295,198,316,مَابَقِيَ.,مابقي,,.,,15a,,,4,,
6628,77,12,1,1,r,276,373,300,394,مَاهُوَ,ماهو,,,,15a,,,4,,
6634,78,1,1,1,r,297,87,337,108,مَاقَرَّرْنَاهُ,ماقررناه,,,,15a,,,4,,
6679,78,6,1,1,r,206,217,238,238,مَاتُـؤمَرُ﴾,ماتؤمر,,﴾.,,15a,,,4,,37:102
6735,78,14,1,1,r,320,425,351,446,مَاظَهَرَ.,ماظهر,,.,,15a,,,4,,
6742,78,14,1,1,r,129,425,161,446,مَاظَهَرَ،,ماظهر,,،,,15a,,,4,,
6785,79,5,1,1,r,304,191,338,212,مَاقُلْنَاهُ,ماقلناه,,,,15a,,,4,,
6816,79,8,1,1,r,235,269,263,290,مَاتَجلَّىٰ,ماتجلى,,,,15b,,,4,,
6818,79,8,1,1,r,186,269,211,290,مَاثَمَّ,ماثم,,,,15b,,,4,,
7007,81,5,1,1,r,108,191,151,212,مَايَخْتَصُّ,مايختص,,,,15b,,,4,,
7018,81,7,1,1,r,241,243,289,264,مَاذَكَرنَاهُ،,ماذكرناه,,،,,15b,,,4,,
7071,82,5,1,1,r,120,191,149,212,مَاهُوَ,ماهو,,,,16a,,,4,,
7117,84,1,1,1,r,80,87,106,108,مَاهُوَ,ماهو,,,,16a,,,5,,
7195,84,13,1,1,r,307,399,346,420,مَاتَخَلَّلَ,ماتخلل,,,,16a,,,5,,
7428,88,9,1,1,r,278,295,319,316,مَايَحْكُمُ,مايحكم,,,,16b,,,5,,
7474,89,1,1,1,r,368,87,402,108,مَاٱدَّعُوهُ,ماادعوه,,,,16b,,,5,,
7485,89,1,1,1,r,137,87,169,108,مَاهُمْ,ماهم,,,,16b,,,5,,
7512,89,5,1,1,r,381,191,402,212,مَاهُوَ,ماهو,,,,16b,,,5,,
7554,89,9,1,1,r,220,295,251,316,مَاهُوَ,ماهو,,,,16b,,,5,,
7600,89,14,1,1,r,239,425,266,446,مَاهُوَ,ماهو,,,,17a,,,5,,
7617,90,2,1,1,r,280,113,312,134,مَاوَرَدَ,ماورد,,,,17a,,,5,,
7620,90,2,1,1,r,176,113,223,134,مَايُعطِيهِ,مايعطيه,,,,17a,,,5,,
7636,90,5,1,1,r,332,191,367,212,مَاكُنْتَ,ماكنت,,,,17a,,,5,,
8053,97,7,1,1,r,377,243,402,264,مَاأَرَادَ,ماأراد,,,,18a,,,6,,
8081,98,2,1,1,r,366,113,402,134,مَاأَصَابَ,ماأصاب,,,,18a,,,6,,
8112,98,5,1,1,r,263,191,304,212,مَاعَبَرَهَا،,ماعبرها,,،,,18a,,,6,,
8116,98,5,1,1,r,151,191,181,212,مَارَأىٰ.,مارأى,,.,,18a,,,6,,
8131,98,8,1,1,r,242,269,266,290,مَارآهُ,مارآه,,,,18a,,,6,,
8307,102,2,1,1,r,229,113,264,134,مَاشَرِبَ.,ماشرب,,.,,18b,,,6,,
8333,102,4,1,1,r,178,165,218,186,مَاأَوَّلْتَهُ,ماأولته,,,,18b,,,6,,
8342,102,5,1,1,r,220,191,244,212,مَارآهُ،,مارآه,,،,,18b,,,6,,
8369,103,2,1,1,r,121,113,169,134,مَاشَاهَدَهَا,ماشاهدها,,,,18b,,,6,,
8433,103,9,1,1,r,149,295,185,316,مَايَأمُرُهُ,مايأمره,,,,18b,,,6,,
8450,103,11,1,1,r,370,347,402,368,مَايَكُونُ,مايكون,,,,18b,,,6,,
8462,103,11,1,1,r,107,347,143,368,مَاكَانَ.,ماكان,,.,,18b,,,6,,
8564,104,9,1,1,r,168,311,206,332,مَايَخـْـفَىٰ,مايخفى,,,,19a,,,6,,
8590,105,1,1,1,r,309,87,340,108,مَاتَجَلَّىٰ,ماتجلى,,,,19a,,,6,,
8627,105,6,1,1,r,183,226,223,247,مَاأَحَسَّ,ماأحس,,,,19a,,,6,,
8656,105,9,1,1,r,172,304,212,325,مَاأَحَسَّ,ماأحس,,,,19a,,,6,,
8669,105,10,1,1,r,131,330,176,351,مَاٱتَّصَفَ,مااتصف,,,,19a,,,6,,
8704,106,9,1,1,r,302,295,324,316,مَاقَدْ,ماقد,,,,19a,,,6,,
8741,106,15,1,1,r,195,451,234,472,مَايَكُونُ,مايكون,,,,19b,,,6,,
8758,106,17,1,1,r,82,503,120,524,مَاخَلَقَتْهُ.,ماخلقته,,.,,19b,,,6,,
8766,107,1,1,1,r,201,87,232,108,مَاخَلَقَ,ماخلق,,,,19b,,,6,,
8793,107,3,1,1,r,182,139,214,160,مَاخَلَقَ،,ماخلق,,،,,19b,,,6,,
8840,107,7,1,1,r,165,243,204,264,مَاغَفَلَ,ماغفل,,,,19b,,,6,,
8899,107,13,1,1,r,270,399,307,420,مَاحِفْظُهُ,ماحفظه,,,,19b,,,6,,
8943,108,4,1,1,r,297,165,328,186,مَاخَلَقَ,ماخلق,,,,19b,,,6,,
8956,108,5,1,1,r,241,191,283,212,مَاسَطَـرَهَا,ماسطرها,,,,19b,,,6,,
8993,108,8,1,1,r,247,269,291,290,﴿مَافَرَّطْنَا,مافرطنا,,,﴿,19b,,,6,,
9005,108,11,1,1,r,310,347,340,368,مَاقُلْنَاهُ,ماقلناه,,,,20a,,,6,,
9020,108,13,1,1,r,302,399,344,420,مَاذَكَرْنَاهُ,ماذكرناه,,,,20a,,,6,,
9222,111,6,1,1,r,234,217,268,238,مَايَفْعَلُ,مايفعل,,,,20a,,,7,,
9333,112,11,1,1,r,232,347,274,368,مَايُنَاسِبُهُ,مايناسبه,,,,20b,,,7,,
10046,121,12,1,1,r,246,373,281,394,مَاكَانَ,ماكان,,,,22a,,,8,,
10049,121,12,1,1,r,150,373,188,394,مَاأَثْبَتَ,ماأثبت,,,,22a,,,8,,
10072,121,15,1,1,r,122,451,168,472,مَاشَـرَعَهُ,ماشرعه,,,,22a,,,8,,
10080,122,1,1,1,r,222,87,251,108,مَاتَقَعُ,ماتقع,,,,22a,,,8,,
10142,122,8,1,1,r,121,269,160,290,مَاشَـرَعَهُ,ماشرعه,,,,22a,,,8,,
10166,122,11,1,1,r,199,347,246,368,مَاشَـرَعُوهُ,ماشرعوه,,,,22a,,,8,,
10374,124,5,1,1,r,259,191,300,212,مَاتُعْطِيْهِ,ماتعطيه,,,,22b,,,8,,
10629,126,8,1,1,r,110,284,156,306,مَايَنْبَغِيْ،,ماينبغي,,،,,23a,,,8,,
10678,126,14,1,1,r,316,452,358,474,مَاأَعْجَبَ,ماأعجب,,,,23a,,,8,,
10818,127,12,1,1,r,195,396,240,418,مَايَقَتَضِي,مايقتضي,,,,23b,,,8,,
10857,128,4,1,1,r,372,172,402,194,مَانَصَحَ.,مانصح,,.,,23b,,,8,,
10900,128,8,1,1,r,351,284,378,306,مَاأَمَـرَ,ماأمر,,,,23b,,,8,,
10986,129,3,1,1,r,278,144,323,166,مَايُفْعَلُ,مايفعل,,,,24a,,,8,,
11150,132,8,1,1,r,379,269,402,290,مَاهُوَ,ماهو,,,,24a,,,9,,
11413,135,13,1,1,r,79,399,118,420,مَاكَانَتْ,ماكانت,,,,24b,,,9,,
11534,137,4,1,1,r,360,165,402,186,مَاأَنْقَصْتُ,ماأنقصت,,,,25a,,,9,,
11624,137,12,1,1,r,79,373,110,394,مَاٱمْتَدَّ,ماامتد,,,,25a,,,9,,
11688,138,7,1,1,r,362,243,399,264,ِمَايُدْرِكُهَا,مايدركها,,,,25a,,,9,,
11700,138,8,1,1,r,330,269,368,290,مَاأَنْتَجَهُ,ماأنتجه,,,,25a,,,9,,
11785,139,3,1,1,r,235,139,266,160,مَايُعْلَمُ,مايعلم,,,,25b,,,9,,
11793,139,4,1,1,r,349,165,386,186,مَايُجْهَلُ,مايجهل,,,,25b,,,9,,
11853,139,10,1,1,r,328,321,363,342,مَاكَانَ,ماكان,,,,25b,,,9,,
11866,139,11,1,1,r,252,347,289,368,مَاظَهَرَ,ماظهر,,,,25b,,,9,,
11912,140,7,1,1,r,324,243,363,264,مَانُدْرِكُهُ,ماندركه,,,,25b,,,9,,
11971,140,12,1,1,r,293,373,340,394,مَاأَوْضَحْتُهُ,ماأوضحته,,,,25b,,,9,,
12184,143,2,1,1,r,262,113,307,134,مَاقَرَّرْنَاهُ.,ماقررناه,,.,,26a,,,9,,
12189,143,3,1,1,r,239,139,278,160,مَاتُدْرِكُهُ,ماتدركه,,,,26a,,,9,,
12483,146,4,1,1,r,138,165,164,186,مَاسِوَىٰ,ماسوى,,,,26b,,,9,,
12688,149,5,1,1,r,339,191,364,212,مَاسوَىٰ,ماسوى,,,,27a,,,10,,
13175,153,16,1,1,r,272,477,311,498,مَاتَحْتَهَا،,ماتحتها,,،,,28a,,,10,,
13187,153,17,1,1,r,142,503,175,524,مَاهُوَ,ماهو,,,,28a,,,10,,
13286,155,3,1,1,r,131,139,185,160,مَاٱسْتَعْجَلْتُمْ,مااستعجلتم,,,,28a,,,10,,
13391,156,2,1,1,r,273,113,308,134,مَاظَهَرَ،,ماظهر,,،,,28b,,,10,,
13394,156,2,1,1,r,184,113,217,134,مَابَطَنَ،,مابطن,,،,,28b,,,10,,
13406,156,3,1,1,r,182,139,224,160,مَاذَكَرْنَاهُ،,ماذكرناه,,،,,28b,,,10,,
13428,156,6,1,1,r,341,217,373,238,مَابَقِيَ,مابقي,,,,28b,,,10,,
13474,156,12,1,1,r,348,373,384,394,مَاكَـلَّمَنِي,ماكلمني,,,,28b,,,10,,
13643,158,2,1,1,r,260,113,301,134,مَافَوقَهُ,مافوقه,,,,29a,,,10,,
13775,160,5,1,1,r,242,191,275,212,مَاصَحَّ,ماصح,,,,29a,,,10,,
14069,162,17,1,1,r,361,503,402,524,مَاأَخْبَرَتِ,ماأخبرت,,,,30a,,,10,,
14233,164,7,1,1,r,238,243,269,264,مَاهُوَ,ماهو,,,,30a,,,10,,
14458,166,2,1,1,r,79,113,111,134,مَاهَوَ,ماهو,,,,30b,,,10,,
14595,168,5,1,1,r,228,191,262,212,مَاكَانَ,ماكان,,,,31a,,,11,,
15204,173,3,1,1,r,206,139,245,160,مَاٱسْتَقَـرَّ,مااستقر,,,,32a,,,11,,
15249,173,8,1,1,r,287,269,327,290,مَايُوَافِقُ,مايوافق,,,,32a,,,11,,
15278,173,11,1,1,r,224,347,251,368,مَاهُوَ,ماهو,,,,32a,,,11,,
15410,175,2,1,1,r,294,113,334,134,مَاتَطْلُبُهُ,ماتطلبه,,,,32b,,,12,,
15413,175,2,1,1,r,181,113,232,134,مَاتَسْتَحِقُّهُ,ماتستحقه,,,,32b,,,12,,
15648,177,2,1,1,r,239,113,277,134,مَاكَانَ,ماكان,,,,33a,,,12,,
15837,178,3,1,1,r,246,139,276,160,مَاتَجَلَّىٰ,ماتجلى,,,,33a,,,12,,
15934,179,2,1,1,r,193,113,233,134,مَاتَجَلَّىٰ،,ماتجلى,,،,,33b,,,12,,
15946,179,4,1,1,r,306,165,351,186,مَاأَعْجَبَ,ماأعجب,,,,33b,,,12,,
16351,183,8,1,1,r,255,269,306,290,مَاذَكَرْتُهُ,ماذكرته,,―,,34a,,,12,,
16636,187,4,1,1,r,333,165,363,186,مَاعَثَرَ,ماعثر,,,,34b,,,12,,
16777,188,4,1,1,r,230,165,262,186,مَاعَثَرُوا,ماعثروا,,,,35a,,,12,,
17017,190,6,2,1,r,88,268,131,289,مَاوَرَاءَهَا,ماوراءها,,,,35b,,,13,,
17326,193,3,1,1,r,79,139,115,160,مَاكَانَ,ماكان,,,,36a,,,13,,
17498,194,10,1,1,r,174,321,213,342,مَاٱجْتَمَعَ,مااجتمع,,,,36b,,,13,,
17576,195,7,1,1,r,352,243,379,264,مَاقَال.,ماقال,,.,,36b,,,13,,
17597,195,9,1,1,r,345,295,389,316,مَايُفْعَلُ,مايفعل,,,,36b,,,13,,
17604,195,9,1,1,r,204,295,246,316,مَايُوحَىٰٓ,مايوحى,,,,36b,,,13,,
17612,195,10,1,1,r,231,321,267,342,مَاعِندَهُ,ماعنده,,,,36b,,,13,,
17697,196,4,1,1,r,79,165,120,186,مَايُصَدِّقُهُ,مايصدقه,,,,36b,,,13,,
17866,197,5,1,1,r,94,191,130,212,مَاعَلَيهِ,ماعليه,,,,37a,,,13,,
17933,197,13,1,1,r,291,399,338,420,﴿مَايُبَدَّلُ,مايبدل,,,﴿,37a,,,13,,
17947,197,14,1,1,r,79,425,124,446,مَاقَدَرْتُ,ماقدرت,,,,37a,,,13,,
17961,197,16,1,1,r,355,477,402,498,مَاعَامَلْنَاهُمْ,ماعاملناهم,,,,37a,,,13,,
17964,197,16,1,1,r,258,477,306,498,مَاعَلَّمْنَاهُمْ،,ماعلمناهم,,،,,37a,,,13,,
17989,197,19,1,1,r,331,555,356,576,مَاقُلْنَا,ماقلنا,,,,37a,,,13,,
17992,197,19,1,1,r,256,555,298,576,مَاأَعْطتْهُ,ماأعطته,,,,37a,,,13,,
18013,198,1,1,1,r,79,87,119,108,مَاعَلِمْنَا,ماعلمنا,,,,37b,,,13,,
18178,200,2,1,1,r,209,113,245,134,مَاجُهِلَ,ماجهل,,,,37b,,,14,,
18218,200,6,1,1,r,264,217,303,238,مَايَحْتَاجُ,مايحتاج,,,,37b,,,14,,
18286,201,1,1,1,r,203,87,230,108,مَاهُوَ,ماهو,,,,38a,,,14,,
18310,201,4,1,1,r,82,165,114,186,مَايَشَاءُ.,مايشاء,,.,,38a,,,14,,
18313,201,5,1,1,r,326,191,358,212,مَاعَلِمَ,ماعلم,,,,38a,,,14,,
18490,202,8,1,1,r,119,269,152,290,مَاكَانَ,ماكان,,,,38a,,,14,,
18702,204,6,1,1,r,316,217,358,238,مَارَوَينَاهُ،,مارويناه,,،,,38b,,,14,,
19026,206,8,1,1,r,110,269,154,290,مَاذَكَرْنَاهُ.,ماذكرناه,,.,,39a,,,14,,
19225,208,5,1,1,r,93,191,133,212,مَاتَحْوِي,ماتحوي,,,,39b,,,14,,
19293,209,4,1,1,r,353,165,391,186,مَايَعْلَمُ,مايعلم,,,,39b,,,14,,
