      -                       99 bnzlylālʿ             =     1
    1 =                 ālḥmd  0 ālḥmd                 =     3
    2 =                   llh  1 lh                    =     4
    3 =                  mnzl  0 mnzl                  =     5
    4 =                 ālḥkm  1 ālḥk                  =     6
    5 =                   ʿlá  0 ʿlá                   =     7
    6 =                  ḳlwb  0 ḳlwb                  =     8
    7 =                 ālklm  0 ālklm                 =     9
    8 =                bāḥdyŧ  0 bāḥdyŧ                =    10
    9 =                ālṭryḳ  0 ālṭryḳ                =    11
   10 =                 ālāmm  0 ālāmm                 =    12
   11 =                    mn  0 mn                    =    13
   12 =                ālmḳām  0 ālmḳām                =    14
   13 +1               ālāḳdm  1 ā                    2+    15
      ^1                       1 ālāḳdm               2+    16
   14 =                   wān  0 wān                   =    17
   15 =                āḫtlft  0 āḫtlft                =    18
   16 =                 ālnḥl  0 ālnḥl                 =    19
   17 =                wālmll  0 wālmll                =    20
   18 =               lāḫtlāf  0 lāḫtlāf               =    21
   19 =                 ālāmm  0 ālāmm                 =    22
   20 =                  wṣlá  0 wṣlá                  =    23
   21 =                  āllh  0 āllh                  =    24
   22 =                   ʿlá  0 ʿlá                   =    25
   23 =                   mmd  1 md                    =    26
   24 =                 ālhmm  0 ālhmm                 =    27
   25 =                    mn  0 mn                    =    28
   26 =                 ḫzāʾn  0 ḫzāʾn                 =    29
   27 =                 ālǧwd  0 ālǧwd                 =    30
   28 =                wālkrm  0 wālkrm                =    31
   29 =                bālḳyl  0 bālḳyl                =    32
   30 =                ālāḳwm  0 ālāḳwm                =    33
   31 =                  mḥmd  0 mḥmd                  =    34
   32 =                  wʿlá  0 wʿlá                  =    35
   33 =                   ālh  0 ālh                   =    36
   34 =                  wslm  0 wslm                  =    37
   35 =                   āmā  0 āmā                   =    38
   36 =                   bʿd  0 bʿd                   =    39
   37 =                  fāny  0 fāny                  =    40
   38 =                  rāyt  0 rāyt                  =    41
   39 =                  rswl  0 rswl                  =    42
   40 =                  āllh  0 āllh                  =    43
   41 =                   ṣlá  0 ṣlá                   =    44
   42 =                  āllh  0 āllh                  =    45
   43 =                  ʿlyh  0 ʿlyh                  =    46
   44 =                  wslm  0 wslm                  =    47
   45 =                    fy  0 fy                    =    48
   46 =                 mbšrŧ  0 mbšrŧ                 =    49
   47 =                ārythā  0 ārythā                =    50
   48 =                    fy  0 fy                    =    51
   49 =                 ālʿšr  0 ālʿšr                 =    52
   50 =                 ālāḫr  0 ālāḫr                 =    53
   51 =                    mn  0 mn                    =    54
   52 =                ālmḥrm  2 mḥrm                  =    55
   53 =                   snŧ  0 snŧ                   =    56
   54 =                   sbʿ  0 sbʿ                   =    57
   55 =                wʿšryn  1 wʿšrwn                =    58
   56 =               wstmāʾŧ  0 wstmāʾŧ               =    59
   57 =               bmḥrwsŧ  0 bmḥrwsŧ               =    60
   58 =                  dmšḳ  0 dmšḳ                  =    61
   59 =                 wbydh  0 wbydh                 =    62
   60 =                   ṣlá  0 ṣlá                   =    63
   61 =                  āllh  0 āllh                  =    64
   62 =                  ʿlyh  0 ʿlyh                  =    65
   63 =                  wslm  0 wslm                  =    66
   64 =                  ktāb  0 ktāb                  =    67
   65 =                  fḳāl  0 fḳāl                  =    68
   66 =                    ly  0 ly                    =    69
   67 =                   hḏā  0 hḏā                   =    70
   68 =                  ktāb  1 tāb                   =    71
