stripe	column	line	left	top	right	bottom	confidence	text
50	0		2	2807	301	3022	474	98	إنسانا
50	0		2	2524	301	2776	474	100	وخليفة
50	0		2	2456	301	2480	474	82	،
50	0		2	2283	301	2418	474	99	فأما
50	0		2	1975	301	2252	474	100	إنسانيته
50	0		2	1710	301	1937	474	87	فلعموم
50	0		2	1481	301	1660	474	89	نشأته
50	0		2	1167	301	1438	474	100	وحصره
50	0		2	1037	301	1129	474	100	(1)
50	0		2	778	301	1012	474	99	الحقائق
50	0		2	569	301	722	474	99	كلها
50	0		2	507	301	531	474	100	.
50	0		2	334	301	469	474	85	وهو
50	0		3	2861	483	3132	657	96	 للحق
50	0		3	2642	483	2809	657	97	بمنزلة
50	0		3	2405	483	2604	657	100	إنسان
50	0		3	2231	483	2372	657	100	العين
50	0		3	2096	483	2186	657	86	من
50	0		3	1909	483	2063	657	96	العين
50	0		3	1723	483	1871	657	93	الذي
50	0		3	1466	483	1671	657	99	يكون
50	0		3	1356	483	1427	657	98	به
50	0		3	1228	483	1324	657	100	(2)
50	0		3	1003	483	1202	657	100	النظر
50	0		3	919	483	944	657	100	،
50	0		3	726	483	861	657	83	وهو
50	0		3	482	483	674	657	99	المعبر
50	0		3	334	483	444	657	100	عنه
50	0		4	3109	670	3195	840	92	6
50	0		4	2789	670	3015	840	91	بالبصر
50	0		4	2715	670	2735	840	99	.
50	0		4	2501	670	2682	840	97	فلهذا
50	0		4	2322	670	2455	840	94	سمي
50	0		4	1961	670	2274	840	92	إنسانا(3)
50	0		4	1761	670	1922	840	95	؛فإنه
50	0		4	1661	670	1727	840	98	به
50	0		4	1461	670	1628	840	99	ينظر
50	0		4	1328	670	1421	840	100	(4)
50	0		4	1154	670	1301	840	98	الحق
50	0		4	1034	670	1114	840	88	إلى
50	0		4	821	670	974	840	95	خلقه
50	0		4	527	670	774	840	96	فيرحمهم
50	0		4	394	670	487	840	99	(5)
50	0		4	334	670	361	840	77	.
50	0		5	2918	849	3027	1021	81	فهو
50	0		5	2628	849	2884	1021	100	الإنسان
50	0		5	2350	849	2587	1021	92	الحادث
50	0		5	2133	849	2302	1021	100	(3-
50	0		5	1965	849	2072	1021	100	ب)
50	0		5	1761	849	1951	1021	99	الأزلي
50	0		5	1437	849	1694	1021	97	والنشء
50	0		5	1213	849	1396	1021	94	الدائم
50	0		5	956	849	1179	1021	97	الأبدي
50	0		5	875	849	895	1021	99	،
50	0		5	585	849	835	1021	93	والكلمة
50	0		5	334	849	557	1021	93	الفاصلة
50	0		6	2775	1032	3024	1205	95	الجامعة
50	0		6	2561	1032	2732	1205	90	؛قيام
50	0		6	2434	1032	2531	1205	98	(6)
50	0		6	2257	1032	2409	1205	100	العالم
50	0		6	1971	1032	2227	1205	97	بوجوده
50	0		6	1904	1032	1928	1205	99	،
50	0		6	1764	1032	1867	1205	89	فهو
50	0		6	1630	1032	1721	1205	99	من
50	0		6	1448	1032	1594	1205	99	العالم
50	0		6	1265	1032	1423	1205	93	كفص
50	0		6	1022	1032	1204	1205	94	الخاتم
50	0		6	912	1032	991	1205	100	من
50	0		6	699	1032	876	1205	100	الخاتم
50	0		6	638	1032	669	1205	96	،
50	0		6	474	1032	602	1205	74	وهو
50	0		6	334	1032	443	1205	97	محل
50	0		7	2854	1224	3035	1402	99	النقش
50	0		7	2724	1224	2814	1402	100	(7)
50	0		7	2430	1224	2691	1402	96	والعلامة
50	0		7	2293	1224	2397	1402	84	التي
50	0		7	2177	1224	2248	1402	100	بها
50	0		7	2026	1224	2144	1402	100	يختم
50	0		7	1909	1224	1987	1402	99	بها
50	0		7	1720	1224	1889	1402	95	الملك
50	0		7	1597	1224	1675	1402	99	على
50	0		7	1323	1224	1552	1402	99	خزانته
50	0		7	1057	1224	1284	1402	97	.وسماه
50	0		7	829	1224	1018	1402	99	خليفة
50	0		7	725	1224	790	1402	94	من
50	0		7	542	1224	692	1402	88	أجل
50	0		7	334	1224	484	1402	90	هذا،
50	0		8	2900	1419	3031	1596	91	لأنه
50	0		8	2715	1419	2867	1596	100	تعالى
50	0		8	2451	1419	2675	1596	99	الحافظ
50	0		8	2339	1419	2405	1596	100	به
50	0		8	2114	1419	2293	1596	100	خلقه
50	0		8	1983	1419	2081	1596	99	(8)
50	0		8	1897	1419	1950	1596	92	كما
50	0		8	1541	1419	1870	1596	95	يحفظالختم
50	0		8	1277	1419	1514	1596	96	الخزأن
50	0		8	1204	1419	1231	1596	100	.
50	0		8	1093	1419	1165	1596	100	فما
50	0		8	954	1419	1060	1596	97	دام
50	0		8	803	1419	908	1596	100	ختم
50	0		8	617	1419	775	1596	92	الملك
50	0		8	407	1419	565	1596	100	عليها
50	0		8	334	1419	380	1596	97	لا
50	0		9	2852	1605	3026	1769	96	يجسر
50	0		9	2682	1605	2820	1769	99	أحد
50	0		9	2570	1605	2644	1769	98	على
50	0		9	2338	1605	2525	1769	96	فتحها
50	0		9	2225	1605	2306	1769	91	إلا
50	0		9	2025	1605	2193	1769	97	بإذنه
50	0		9	1662	1605	1987	1769	93	فاستخلفه
50	0		9	1580	1605	1623	1769	97	في
50	0		9	1361	1605	1524	1769	100	حفظ
50	0		9	1017	1605	1317	1769	96	الملك(9).
50	0		9	911	1605	997	1769	86	فلا
50	0		9	760	1605	885	1769	89	يزال
50	0		9	578	1605	716	1769	87	العالم
50	0		9	334	1605	559	1769	98	محفوظا
50	0		10	3104	1778	3188	1962	95	7
50	0		10	2952	1778	3021	1962	100	ما
50	0		10	2813	1778	2917	1962	92	دام
50	0		10	2675	1778	2772	1962	97	فيه
50	0		10	2516	1778	2640	1962	99	هذا
50	0		10	2231	1778	2488	1962	85	الإنسان
50	0		10	1982	1778	2211	1962	98	الكامل
50	0		10	1927	1778	1948	1962	94	.
50	0		10	1788	1778	1892	1962	96	ألا
50	0		10	1622	1778	1747	1962	99	تراه
50	0		10	1483	1778	1587	1962	100	إذا
50	0		10	1311	1778	1435	1962	91	زال
50	0		10	1054	1778	1248	1962	96	وفك
50	0		10	902	1778	999	1962	76	من
50	0		10	625	1778	833	1962	99	خزانة
50	0		10	389	1778	576	1962	100	الدنيا
50	0		10	334	1778	369	1962	83	لم
50	0		11	2915	1973	3029	2132	99	يبق
50	0		11	2734	1973	2861	2132	92	فيها
50	0		11	2632	1973	2698	2132	95	ما
50	0		11	2367	1973	2602	2132	98	ابختزنه
50	0		11	2193	1973	2337	2132	94	الحق
50	0		11	2018	1973	2145	2132	97	فيها
50	0		11	1772	1973	1982	2132	97	وخرج
50	0		11	1669	1973	1730	2132	100	ما
50	0		11	1519	1973	1621	2132	92	كان
50	0		11	1345	1973	1483	2132	87	فيها
50	0		11	1188	1973	1296	2132	99	(115
50	0		11	875	1973	1128	2132	100	والتحق
50	0		11	635	1973	815	2132	100	بعضه
50	0		11	424	1973	599	2132	92	ببعض
50	0		11	334	1973	358	2132	93	،
50	0		12	2802	2141	3022	2303	97	وانتقل
50	0		12	2597	2141	2751	2303	94	الأمر
50	0		12	2471	2141	2560	2303	99	إلى
50	0		12	2192	2141	2428	2303	95	الآخرة
50	0		12	1994	2141	2155	2303	97	فكان
50	0		12	1737	2141	1928	2303	95	ختنما
50	0		12	1619	2141	1700	2303	99	على
50	0		12	1363	2141	1561	2303	78	خزانة
50	0		12	1054	2141	1326	2303	99	الآخرة
50	0		12	848	2141	1002	2303	100	ختما
50	0		12	620	2141	826	2303	91	أبديا
50	0		12	532	2141	562	2303	100	؟
50	0		12	334	2141	495	2303	83	فظهمر
50	0		13	2844	2332	3020	2519	97	جميـع
50	0		13	2740	2332	2805	2519	94	ما
50	0		13	2655	2332	2714	2519	98	في
50	0		13	2421	2332	2616	2519	89	الصور
50	0		13	2181	2332	2382	2519	100	الٕلهية
50	0		13	2044	2332	2136	2519	100	من
50	0		13	1771	2332	2005	2519	94	الأسماء
50	0		13	1654	2332	1726	2519	96	في
50	0		13	1458	2332	1589	2519	86	هذه
50	0		13	1198	2332	1419	2519	99	النشأة
50	0		13	841	2332	1146	2519	93	الإنسانية
50	0		13	536	2332	789	2519	99	فحازت
50	0		13	334	2332	470	2519	100	رتبة
50	0		14	2752	2528	3030	2688	93	الإحاطة
