stripe	column	line	left	top	right	bottom	confidence	text
0		1	1756	96	1883	201	99	-
0		1	1829	96	1830	201	96	97
0		1	1682	96	1946	201	85	-
0		2	3103	410	3193	593	87	أي
0		2	2840	410	3052	593	98	عادتك
0		2	2763	410	2788	593	100	.
0		2	2473	410	2724	593	98	ومعقول
0		2	2242	410	2434	593	99	العادة
0		2	2132	410	2209	593	100	أن
0		2	1939	410	2093	593	91	يعود
0		2	1752	410	1907	593	96	الأمر
0		2	1541	410	1708	593	94	بعينه
0		2	1424	410	1508	593	94	إلى
0		2	1225	410	1367	593	100	حاله
0		2	1167	410	1186	593	50	:
0		2	962	410	1135	593	80	وهذا
0		2	814	410	929	593	100	ليس
0		2	659	410	743	593	100	ثم
0		2	466	410	627	593	99	فإن
0		2	344	410	376	593	89	4
0		3	3011	602	3194	764	94	العادة
0		3	2749	602	2980	764	100	تكرار
0		3	2676	602	2700	764	100	.
0		3	2481	602	2645	764	96	لكن
0		3	2249	602	2438	764	99	العادة
0		3	2115	602	2218	764	94	(1)
0		3	1871	602	2072	764	100	حقيقة
0		3	1597	602	1816	764	92	معقولة
0		3	1530	602	1554	764	100	؛
0		3	1225	602	1493	764	95	والتشابه
0		3	1133	602	1176	764	97	في
0		3	877	602	1096	764	86	الصور
0		3	572	602	810	764	98	موجود
0		3	505	602	529	764	82	:
0		4	3014	773	3188	947	99	فنحن
0		4	2863	773	2971	947	100	نعلم
0		4	2749	773	2833	947	84	أن
0		4	2538	773	2707	947	98	زيدا
0		4	2388	773	2484	947	100	عين
0		4	2189	773	2340	947	99	عمرو
0		4	2087	773	2141	947	88	في
0		4	1750	773	2051	947	96	الإنسانية
0		4	1594	773	1714	947	92	وما
0		4	1383	773	1558	947	98	عادت
0		4	998	773	1341	947	95	مالإنسانية
0		4	926	773	956	947	100	،
0		4	830	773	896	947	92	إذ
0		4	740	773	800	947	92	لو
0		4	493	773	691	947	97	عادت
0		5	2945	956	3187	1133	99	تكثرت
0		5	2755	956	2901	1133	98	وهي
0		5	2507	956	2698	1133	93	حقيقة
0		5	2215	956	2450	1133	98	واحدة
0		5	1897	956	2170	1133	99	والواحد
0		5	1815	956	1871	1133	100	لا
0		5	1566	956	1776	1133	100	يتكثر
0		5	1477	956	1534	1133	100	في
0		5	1274	956	1433	1133	99	نفسه
0		5	1204	956	1229	1133	100	.
0		5	1014	956	1178	1133	93	ونعلم
0		5	898	956	988	1133	100	أن
0		5	683	956	835	1133	95	زيدا
0		5	492	956	651	1133	63	ليس
0		6	2960	1142	3181	1319	99	عـين
0		6	2762	1142	2909	1319	92	عمرو
0		6	2663	1142	2718	1319	99	في
0		6	2317	1142	2638	1319	96	الشخصية
0		6	2249	1142	2273	1319	58	:
0		6	1971	1142	2212	1319	84	فشخص
0		6	1811	1142	1909	1319	99	(2)
0		6	1656	1142	1767	1319	74	زيد
0		6	1483	1142	1600	1319	99	ليس
0		6	1230	1142	1421	1319	100	شخص
0		6	1076	1142	1168	1319	83	(2)
0		6	866	1142	1032	1319	100	عمرو
0		6	742	1142	816	1319	98	مع
0		6	495	1142	705	1319	99	تحقيق
0		7	3069	1328	3189	1489	99	(33
0		7	2961	1328	3013	1489	100	-
0		7	2791	1328	2904	1489	100	ب)
0		7	2558	1328	2757	1489	89	وجود
0		7	2211	1328	2524	1489	95	الشخصية
0		7	2120	1328	2178	1489	95	بما
0		7	1985	1328	2081	1489	98	هي
0		7	1677	1328	1939	1489	91	شخصية
0		7	1598	1328	1638	1489	96	في
0		7	1360	1328	1570	1489	96	الاثنين
0		7	1280	1328	1314	1489	100	.
0		7	1059	1328	1246	1489	99	فنقول
0		7	951	1328	1008	1489	88	في
0		7	763	1328	911	1489	100	الحس
0		7	496	1328	695	1489	90	عادت
0		8	3061	1498	3187	1664	99	لهذا
0		8	2851	1498	3028	1664	93	الشبه
0		8	2788	1498	2813	1664	100	،
0		8	2552	1498	2749	1664	98	ونقول
0		8	2445	1498	2502	1664	100	في
0		8	2191	1498	2407	1664	98	الحكم
0		8	1906	1498	2165	1664	94	الصحيح
0		8	1823	1498	1874	1664	90	لم
0		8	1671	1498	1791	1664	92	تعد
0		8	1589	1498	1613	1664	100	.
0		8	1411	1498	1550	1664	100	فمـا
0		8	1277	1498	1354	1664	100	ثم
0		8	1081	1498	1227	1664	98	عادة
0		8	891	1498	1049	1664	100	بوجه
0		8	706	1498	852	1664	100	وثم
0		8	497	1498	643	1664	96	عادة
0		9	3024	1673	3187	1843	89	بوجه
0		9	2964	1673	2984	1843	100	،
0		9	2869	1673	2922	1843	99	كما
0		9	2761	1673	2841	1843	100	أن
0		9	2612	1673	2700	1843	95	ثم
0		9	2368	1673	2571	1843	100	جزاء
0		9	2152	1673	2308	1843	79	بوجه
0		9	1990	1673	2111	1843	99	وما
0		9	1909	1673	1970	1843	98	ثم
0		9	1706	1673	1867	1843	95	جزاء
0		9	1509	1673	1672	1843	95	بوجه
0		9	1422	1673	1469	1843	100	فا
0		9	1286	1673	1374	1843	100	ن
0		9	1022	1673	1218	1843	99	الجزاء
0		9	827	1673	988	1843	96	أيضا
0		9	637	1673	785	1843	100	حال
0		9	495	1673	563	1843	92	في
0		10	2974	1852	3193	2022	98	المكن
0		10	2857	1852	2926	2022	98	من
0		10	2603	1852	2822	2022	97	أحوال
0		10	2301	1852	2534	2022	96	الممكن
0		10	2232	1852	2260	2022	100	.
0		10	2006	1852	2198	2022	97	وهذه
0		10	1882	1852	1979	2022	95	(3)
0		10	1662	1852	1855	2022	92	مسألة
0		10	1415	1852	1628	2022	98	أغفلها
0		10	1086	1852	1361	2022	95	علمـاء
0		10	929	1852	1045	2022	99	هذا
0		10	709	1852	901	2022	93	الشأن
0		10	640	1852	667	2022	100	،
