stripe	column	line	left	top	right	bottom	confidence	text
0		2	3161	422	3202	582	97	ع
0		2	3137	422	3161	582	98	ي
0		2	3107	422	3137	582	96	ن
0		2	3054	422	3108	582	99	 
0		2	3019	422	3054	582	94	غ
0		2	2989	422	3019	582	100	ن
0		2	2953	422	2989	582	100	ا
0		2	2930	422	2954	582	100	ٔ
0		2	2906	422	2930	582	97	ه
0		2	2882	422	2906	582	99	ا
0		2	2847	422	2883	582	100	 
0		2	2799	422	2847	582	100	ع
0		2	2764	422	2800	582	100	ن
0		2	2740	422	2764	582	96	 
0		2	2716	422	2740	582	100	ن
0		2	2663	422	2717	582	100	س
0		2	2622	422	2664	582	100	ب
0		2	2592	422	2622	582	67	ة
0		2	2551	422	2593	582	100	 
0		2	2539	422	2551	582	99	ا
0		2	2515	422	2539	582	96	ل
0		2	2503	422	2515	582	100	ا
0		2	2468	422	2504	582	100	ٔ
0		2	2432	422	2468	582	100	س
0		2	2391	422	2433	582	100	م
0		2	2361	422	2391	582	100	ا
0		2	2332	422	2362	582	95	ء
0		2	2296	422	2332	582	100	 
0		2	2278	422	2296	582	100	ل
0		2	2249	422	2279	582	100	ه
0		2	2219	422	2249	582	99	ا
0		2	2207	422	2219	582	91	 
0		2	2184	422	2208	582	100	،
0		2	2172	422	2184	582	95	 
0		2	2148	422	2172	582	99	ل
0		2	2107	422	2148	582	100	ا
0		2	2065	422	2107	582	100	ن
0		2	2030	422	2066	582	100	 
0		2	2006	422	2030	582	99	ا
0		2	1982	422	2006	582	67	ل
0		2	1971	422	1983	582	99	ا
0		2	1941	422	1971	582	66	ٔ
0		2	1899	422	1941	582	98	س
0		2	1870	422	1900	582	76	م
0		2	1834	422	1870	582	99	ا
0		2	1811	422	1835	582	100	ء
0		2	1769	422	1811	582	100	 
0		2	1746	422	1769	582	100	ل
0		2	1722	422	1746	582	99	ه
0		2	1692	422	1722	582	98	ا
0		2	1657	422	1693	582	98	 
0		2	1639	422	1657	582	98	ك
0		2	1627	422	1639	582	95	م
0		2	1603	422	1627	582	100	ا
0		2	1574	422	1604	582	100	 
0		2	1544	422	1574	582	100	ت
0		2	1509	422	1545	582	100	د
0		2	1467	422	1509	582	55	ل
0		2	1414	422	1468	582	100	 
0		2	1372	422	1414	582	100	ع
0		2	1349	422	1373	582	100	ل
0		2	1313	422	1349	582	100	ي
0		2	1284	422	1314	582	99	ه
0		2	1254	422	1284	582	97	ا
0		2	1225	422	1254	582	100	 
0		2	1195	422	1225	582	100	ت
0		2	1153	422	1195	582	100	د
0		2	1112	422	1154	582	99	ل
0		2	1059	422	1112	582	100	 
0		2	1035	422	1059	582	100	ع
0		2	1011	422	1035	582	100	ل
0		2	988	422	1012	582	92	ى
0		2	958	422	988	582	98	 
0		2	916	422	958	582	100	م
0		2	863	422	917	582	93	س
0		2	816	422	864	582	100	م
0		2	792	422	816	582	99	ي
0		2	745	422	793	582	100	ا
0		2	691	422	745	582	100	ت
0		2	668	422	692	582	100	 
0		2	656	422	668	582	100	ا
0		2	620	422	656	582	100	ٔ
0		2	579	422	621	582	100	خ
0		2	520	422	580	582	95	ر
0		3	3189	591	3213	759	100	ي
0		3	3157	591	3188	759	97	ح
0		3	3112	591	3156	759	98	ق
0		3	3067	591	3112	759	100	ق
0		3	3036	591	3068	759	92	 
0		3	3017	591	3035	759	100	(
0		3	2979	591	3016	759	100	1
0		3	2941	591	2978	759	99	)
0		3	2915	591	2940	759	78	 
0		3	2883	591	2915	759	93	ذ
0		3	2845	591	2883	759	99	ل
0		3	2794	591	2845	759	97	ك
0		3	2756	591	2794	759	94	(
0		3	2712	591	2756	759	100	2
0		3	2686	591	2711	759	100	)
0		3	2654	591	2686	759	98	 
0		3	2642	591	2654	759	86	ا
0		3	2629	591	2641	759	99	ٔ
0		3	2596	591	2628	759	99	 
0		3	2565	591	2597	759	100	ث
0		3	2521	591	2565	759	100	ر
0		3	2463	591	2520	759	100	م
0		3	2425	591	2463	759	95	ا
0		3	2394	591	2425	759	77	.
0		3	2349	591	2393	759	100	 
0		3	2292	591	2349	759	99	«
0		3	2228	591	2292	759	97	ق
0		3	2177	591	2228	759	94	ل
0		3	2113	591	2178	759	99	 
0		3	2069	591	2114	759	94	ه
0		3	2031	591	2069	759	99	و
0		3	1993	591	2031	759	91	 
0		3	1968	591	1992	759	99	ا
0		3	1949	591	1967	759	93	ل
0		3	1923	591	1948	759	100	ل
0		3	1891	591	1923	759	99	ه
0		3	1853	591	1891	759	99	 
0		3	1841	591	1853	759	100	ا
0		3	1802	591	1840	759	99	ٔ
0		3	1757	591	1802	759	100	ح
0		3	1706	591	1758	759	81	د
0		3	1656	591	1707	759	99	»
0		3	1618	591	1656	759	100	 
0		3	1586	591	1617	759	98	م
0		3	1535	591	1586	759	100	ن
0		3	1484	591	1535	759	100	 
0		3	1433	591	1484	759	100	ح
0		3	1388	591	1433	759	100	ي
0		3	1331	591	1389	759	100	ث
0		3	1268	591	1332	759	100	 
0		3	1236	591	1268	759	80	ع
0		3	1211	591	1236	759	99	ي
0		3	1166	591	1210	759	100	ن
0		3	1135	591	1166	759	93	ه
0		3	1116	591	1134	759	98	 
0		3	1084	591	1115	759	100	:
0		3	1046	591	1083	759	100	 
0		3	1007	591	1045	759	100	«
0		3	963	591	1008	759	100	ا
0		3	931	591	962	759	100	ل
0		3	912	591	931	759	100	ل
0		3	887	591	912	759	100	ه
0		3	861	591	886	759	100	 
0		3	849	591	861	759	100	ا
0		3	810	591	848	759	71	ل
0		3	747	591	810	759	98	ص
0		3	676	591	746	759	99	م
0		3	588	591	677	759	98	د
0		3	524	591	587	759	98	»
0		4	3165	792	3208	961	100	م
0		4	3117	792	3165	961	98	ن
0		4	3068	792	3116	961	100	 
0		4	3019	792	3067	961	99	ح
0		4	2971	792	3019	961	81	ي
0		4	2916	792	2970	961	85	ث
0		4	2873	792	2915	961	100	 
0		4	2836	792	2872	961	99	ا
0		4	2794	792	2836	961	100	س
0		4	2757	792	2793	961	100	ت
0		4	2720	792	2757	961	99	ن
0		4	2684	792	2720	961	100	ا
0		4	2653	792	2683	961	100	د
0		4	2629	792	2653	961	100	ن
0		4	2611	792	2629	961	95	ا
0		4	2580	792	2610	961	100	 
0		4	2568	792	2580	961	88	ا
0		4	2556	792	2568	961	99	ٕ
0		4	2525	792	2556	961	100	ل
0		4	2495	792	2525	961	100	ي
0		4	2446	792	2494	961	98	ه
0		4	2416	792	2446	961	99	 
0		4	2385	792	2415	961	100	:
0		4	2343	792	2385	961	93	 
0		4	2318	792	2342	961	74	«
0		4	2288	792	2318	961	100	ل
0		4	2257	792	2287	961	90	م
0		4	2208	792	2257	961	98	 
0		4	2184	792	2208	961	98	ي
0		4	2135	792	2184	961	100	ل
0		4	2075	792	2135	961	99	د
0		4	2020	792	2074	961	84	»
0		4	1977	792	2019	961	99	 
0		4	1940	792	1976	961	99	م
0		4	1898	792	1940	961	94	ن
0		4	1843	792	1897	961	100	 
0		4	1800	792	1842	961	100	ح
0		4	1752	792	1800	961	100	ي
0		4	1691	792	1751	961	100	ث
0		4	1635	792	1690	961	100	 
0		4	1593	792	1635	961	100	ه
0		4	1556	792	1592	961	54	و
0		4	1514	792	1556	961	99	ي
0		4	1483	792	1513	961	99	ت
0		4	1453	792	1483	961	100	ه
0		4	1410	792	1452	961	100	 
0		4	1367	792	1410	961	100	و
0		4	1331	792	1367	961	73	ن
0		4	1294	792	1330	961	100	ح
0		4	1252	792	1294	961	100	ن
0		4	1221	792	1251	961	63	 
0		4	1203	792	1221	961	100	،
0		4	1184	792	1202	961	96	 
0		4	1148	792	1184	961	100	«
0		4	1111	792	1148	961	100	و
0		4	1081	792	1111	961	100	ل
0		4	1050	792	1081	961	100	م
0		4	1026	792	1050	961	100	 
0		4	995	792	1026	961	100	ي
0		4	977	792	995	961	100	و
