stripe	column	line	left	top	right	bottom
0		1	1457	100	1843	197
0		2	322	417	3030	586
0		3	322	596	3028	764
0		4	322	774	3027	936
0		5	322	946	3025	1120
0		6	322	1130	3029	1294
0		7	322	1304	3023	1469
0		8	322	1479	3029	1636
0		9	322	1646	3027	1821
0		10	322	1833	3029	1986
0		11	322	1996	3029	2160
0		12	322	2170	3029	2320
0		13	322	2330	3027	2484
0		14	322	2494	3228	2644
0		15	322	2654	3034	2815
0		16	322	2825	3029	2986
0		17	322	2996	3038	3159
0		18	322	3169	3030	3329
0		19	322	3339	3030	3472
0		20	324	3482	3039	3626
