stripe	column	line	left	top	right	bottom	confidence	text
0		1	777	246	844	342	93	-
0		1	823	246	789	342	100	9
0		1	728	246	868	342	78	-
0		2	1406	395	1507	482	90	قرآناً
0		2	1358	395	1400	482	94	(1)
0		2	1315	395	1337	482	100	في
0		2	1215	395	1292	482	99	نفسه
0		2	1137	395	1192	482	90	فإن
0		2	1025	395	1120	482	98	المتقي
0		2	957	395	1003	482	93	الله
0		2	830	395	940	482	99	«يجعل
0		2	779	395	808	482	100	له
0		2	658	395	758	482	98	فرقاناً
0		2	642	395	652	482	100	»
0		2	553	395	622	482	99	وهو
0		2	476	395	530	482	96	مثل
0		2	414	395	446	482	96	ما
0		2	287	395	400	482	92	ذكرناه
0		2	245	395	270	482	100	في
0		2	160	395	222	482	100	هذه
0		3	1407	491	1514	575	99	المسألة
0		3	1346	491	1387	575	88	فيما
0		3	1250	491	1333	575	99	يتميز
0		3	1200	491	1232	575	100	به
0		3	1104	491	1187	575	99	العبد
0		3	1040	491	1082	575	100	من
0		3	939	491	1022	575	99	الرب
0		3	898	491	910	575	80	.
0		3	792	491	878	575	94	وهذا
0		3	662	491	780	575	98	الفرقان
0		3	601	491	653	575	100	(2)
0		3	510	491	589	575	100	أرفع
0		3	389	491	487	575	100	فرقان
0		3	344	491	367	575	97	.
0		4	1530	584	1597	653	96	10
0		4	1346	584	1436	653	98	فوقتا
0		4	1218	584	1330	653	97	يكون
0		4	1115	584	1196	653	89	العبد
0		4	1035	584	1095	653	83	ربا
0		4	964	584	1015	653	100	بلا
0		4	847	584	934	653	100	شك
0		4	693	584	797	653	100	ووقتاً
0		4	576	584	683	653	97	يكون
0		4	479	584	560	653	100	العبد
0		4	378	584	459	653	100	عبدا
0		4	221	584	352	653	98	بلاإفك
0		5	1379	662	1449	735	87	 فإن
0		5	1298	662	1355	735	94	كان
0		5	1187	662	1268	735	100	عبداً
0		5	1117	662	1168	735	100	كان
0		5	1007	662	1088	735	96	بالحق
0		5	843	662	970	735	81	واسعا
0		5	736	662	796	735	100	وإن
0		5	663	662	713	735	85	كان
0		5	585	662	642	735	80	رباً
0		5	519	662	569	735	97	كان
0		5	468	662	495	735	84	في
0		5	351	662	438	735	99	عيشة
0		5	221	662	321	735	99	ضنك
0		6	1386	744	1445	812	88	فمن
0		6	1275	744	1355	812	100	كونه
0		6	1166	744	1247	812	98	عبدا
0		6	1077	744	1145	812	99	يرى
0		6	980	744	1037	812	84	عين
0		6	848	744	953	812	88	نفسه
0		6	687	744	798	812	98	وتتسع
0		6	496	744	665	812	100	الآمـال
0		6	403	744	461	812	100	منه
0		6	329	744	377	812	100	بلا
0		6	223	744	301	812	90	شك
0		7	1374	821	1452	894	90	 ومن
0		7	1254	821	1338	894	92	كونه
0		7	1171	821	1227	894	96	ربا
0		7	1080	821	1147	894	93	يرى
0		7	956	821	1051	894	91	الخلق
0		7	843	821	916	894	96	كله
0		7	689	821	799	894	98	يطالبه
0		7	639	821	672	894	100	من
0		7	512	821	615	894	100	حضرة
0		7	381	821	495	894	97	الملك
0		7	224	821	364	894	93	والملك
0		8	1312	903	1446	975	96	ويعجز
0		8	1207	903	1272	975	100	عما
0		8	986	903	1168	975	98	طـالبوه
0		8	844	903	958	975	93	بذاته
0		8	742	903	796	975	86	لذا
0		8	689	903	720	975	100	تر
0		8	586	903	663	975	100	بعض
0		8	410	903	552	975	98	العارفين
0		8	334	903	379	975	100	به
0		8	226	903	306	975	100	يكى
0		9	1360	984	1454	1069	91	 فكن
0		9	1284	984	1337	1069	100	عبد
0		9	1206	984	1261	1069	100	رب
0		9	1158	984	1187	1069	100	لا
0		9	1067	984	1148	1069	100	تكن
0		9	985	984	1046	1069	80	رب
0		9	845	984	952	1069	96	عبده
0		9	678	984	799	1069	92	فتذهب
0		9	532	984	655	1069	100	بالتعليق
0		9	477	984	506	1069	94	في
0		9	389	984	464	1069	99	النار
0		9	226	984	369	1069	98	والسبك
0		10	1415	1134	1599	1238	99	1
0		10	1126	1134	1201	1238	100	 -
0		10	1029	1134	1087	1238	100	فص
0		10	899	1134	987	1238	86	حكة
0		10	803	1134	882	1238	95	علية
0		10	752	1134	777	1238	100	في
0		10	652	1134	718	1238	93	كلمة
0		10	450	1134	634	1238	99	اسماعيلية
0		11	1390	1289	1456	1377	97	أعلم
0		11	1336	1289	1378	1377	96	أن
0		11	1215	1289	1312	1377	94	مسمى
0		11	1147	1289	1192	1377	92	الله
0		11	1081	1289	1133	1377	86	(3)
0		11	965	1289	1069	1377	96	أحدي
0		11	828	1289	948	1377	91	 بالذات
0		11	766	1289	804	1377	98	كل
0		11	618	1289	739	1377	95	بالأسماء
0		11	587	1289	598	1377	100	.
0		11	505	1289	570	1377	99	وكل
0		11	364	1289	481	1377	97	موجود
0		11	165	1289	343	1377	96	(29-)
0		12	1485	1386	1526	1455	99	فما
0		12	1441	1386	1472	1455	100	له
0		12	1386	1386	1420	1455	75	من
0		12	1318	1386	1369	1455	99	الله
0		12	1263	1386	1308	1455	100	إلا
0		12	1190	1386	1246	1455	86	ربه
0		12	1087	1386	1180	1455	94	خاصة
0		12	944	1386	1070	1455	93	يستحيل
0		12	885	1386	930	1455	98	أن
0		12	762	1386	869	1455	94	يكون
0		12	710	1386	745	1455	100	له
0		12	546	1386	697	1455	91	الكل(4)
0		12	515	1386	526	1455	95	.
0		12	419	1386	494	1455	100	وأما
0		12	285	1386	409	1455	99	الأحدية
0		12	165	1386	279	1455	88	الإلهة
0		13	1483	1464	1529	1541	99	فما
0		13	1373	1464	1471	1541	97	لواحد
0		13	1294	1464	1356	1541	98	فيها
0		13	1216	1464	1278	1541	100	قدم
0		13	1197	1464	1204	1541	100	،
0		13	1118	1464	1178	1541	93	لأنه
0		13	1070	1464	1099	1541	100	لا
0		13	985	1464	1050	1541	100	يقال
0		13	864	1464	963	1541	88	لواحد
0		13	773	1464	841	1541	99	منها
0		13	688	1464	757	1541	100	شيء
0		13	565	1464	669	1541	90	ولآخر
0		13	477	1464	541	1541	100	منها
0		13	386	1464	457	1541	93	شيء
0		13	164	1464	370	1541	95	،لأنهالاتقبل
0		14	1561	1550	1603	1615	98	2
0		14	1368	1550	1529	1615	96	التبعيض.
0		14	1210	1550	1351	1615	90	فاحديته
0		14	1105	1550	1190	1615	96	جموع
0		14	1040	1550	1084	1615	94	كله
0		14	927	1550	1023	1615	98	بالقوة
0		14	894	1550	906	1615	100	.
0		14	745	1550	877	1615	100	والسعيد
0		14	689	1550	725	1615	100	من
0		14	617	1550	666	1615	100	كان
0		14	535	1550	593	1615	97	عند
0		14	459	1550	514	1615	90	ربه
0		14	336	1550	438	1615	100	مرضاً
0		14	315	1550	330	1615	100	؛
0		14	239	1550	298	1615	92	وما
0		14	163	1550	218	1615	88	ثمر5
