stripe	column	line	left	top	right	bottom
0		1	722	251	904	353
0		2	139	413	1493	494
0		3	139	508	1493	586
0		4	139	598	1493	689
0		5	139	701	1493	792
0		6	139	806	1493	888
0		7	139	898	1493	981
0		8	139	995	1493	1078
0		9	139	1088	1493	1176
0		10	139	1186	1493	1268
0		11	139	1278	1493	1362
0		12	139	1372	1493	1457
0		13	139	1467	1493	1556
0		14	139	1572	1493	1650
0		15	139	1662	1493	1748
0		16	139	1758	1493	1845
0		17	139	1859	1493	1946
0		18	139	1956	1493	2041
0		19	248	2051	1493	2127
0		20	139	2137	1429	2220
