stripe	column	line	left	top	right	bottom	confidence	text
0		1	873	236	904	335	96	0
0		1	813	236	872	335	100	 
0		1	791	236	813	335	95	1
0		1	817	236	791	335	64	5
0		1	793	236	817	335	100	4
0		1	748	236	793	335	100	 
0		1	732	236	749	335	100	-
0		1	704	236	732	335	100	ه
0		2	1537	442	1590	525	98	8
0		2	1484	442	1537	525	96	 
0		2	1470	442	1484	525	100	ق
0		2	1455	442	1469	525	78	ا
0		2	1431	442	1455	525	47	ل
0		2	1406	442	1432	525	100	 
0		2	1383	442	1405	525	100	«
0		2	1359	442	1382	525	99	ل
0		2	1344	442	1359	525	89	ي
0		2	1315	442	1344	525	100	س
0		2	1280	442	1315	525	99	 
0		2	1265	442	1280	525	100	ك
0		2	1254	442	1265	525	50	م
0		2	1239	442	1253	525	92	ث
0		2	1221	442	1239	525	98	ل
0		2	1210	442	1222	525	71	ه
0		2	1196	442	1210	525	88	 
0		2	1172	442	1195	525	89	ش
0		2	1143	442	1172	525	85	ي
0		2	1110	442	1142	525	96	ء
0		2	1087	442	1111	525	98	»
0		2	1070	442	1088	525	100	 
0		2	1056	442	1070	525	100	ف
0		2	1038	442	1055	525	100	ن
0		2	1017	442	1038	525	100	ف
0		2	991	442	1018	525	100	ى
0		2	965	442	991	525	98	 
0		2	950	442	965	525	100	؛
0		2	930	442	950	525	93	 
0		2	906	442	930	525	100	«
0		2	875	442	907	525	100	و
0		2	851	442	874	525	100	ه
0		2	834	442	851	525	100	و
0		2	816	442	833	525	82	 
0		2	804	442	816	525	100	ا
0		2	793	442	804	525	100	ل
0		2	764	442	792	525	100	س
0		2	743	442	763	525	60	م
0		2	719	442	743	525	100	ي
0		2	688	442	720	525	100	ع
0		2	670	442	687	525	100	 
0		2	658	442	670	525	100	ا
0		2	647	442	658	525	90	ل
0		2	626	442	646	525	100	ب
0		2	600	442	627	525	85	ص
0		2	579	442	600	525	100	ي
0		2	554	442	580	525	99	ر
0		2	524	442	553	525	100	»
0		2	507	442	524	525	98	 
0		2	492	442	506	525	100	ف
0		2	483	442	492	525	100	ا
0		2	474	442	483	525	100	ٔ
0		2	460	442	475	525	100	ث
0		2	437	442	460	525	99	ب
0		2	410	442	436	525	96	ت
0		2	387	442	411	525	92	 
0		2	369	442	387	525	82	ب
0		2	344	442	370	525	98	ص
0		2	305	442	343	525	100	ف
0		2	273	442	306	525	100	ة
0		2	247	442	273	525	100	 
0		2	233	442	247	525	99	ت
0		2	215	442	232	525	97	ع
0		2	194	442	215	525	100	م
0		2	174	442	195	525	100	 
0		2	157	442	174	525	95	ك
0		2	136	442	156	525	100	ل
0		3	1538	534	1588	615	100	ه
0		3	1483	534	1538	615	98	 
0		3	1464	534	1484	615	88	س
0		3	1443	534	1465	615	99	ا
0		3	1424	534	1442	615	100	م
0		3	1398	534	1423	615	99	ع
0		3	1386	534	1398	615	94	 
0		3	1367	534	1385	615	96	ب
0		3	1319	534	1366	615	100	ص
0		3	1274	534	1318	615	49	ـ
0		3	1255	534	1275	615	99	ي
0		3	1236	534	1256	615	100	ر
0		3	1221	534	1237	615	99	 
0		3	1204	534	1220	615	100	م
0		3	1183	534	1205	615	99	ن
0		3	1157	534	1182	615	98	 
0		3	1134	534	1157	615	77	ح
0		3	1115	534	1135	615	89	ي
0		3	1096	534	1116	615	99	و
0		3	1077	534	1097	615	96	ا
0		3	1052	534	1078	615	79	ن
0		3	1040	534	1053	615	98	 
0		3	1031	534	1040	615	96	:
0		3	1012	534	1030	615	78	 
0		3	986	534	1011	615	99	و
0		3	963	534	986	615	97	م
0		3	935	534	964	615	98	ا
0		3	910	534	935	615	100	ث
0		3	887	534	909	615	100	م
0		3	868	534	888	615	100	 
0		3	862	534	869	615	100	ا
0		3	856	534	862	615	100	ٕ
0		3	843	534	856	615	99	ل
0		3	828	534	843	615	99	ا
0		3	805	534	827	615	100	 
0		3	779	534	806	615	98	ح
0		3	764	534	780	615	98	ي
0		3	741	534	764	615	100	و
0		3	722	534	742	615	100	ا
0		3	697	534	723	615	95	ن
0		3	682	534	698	615	100	 
0		3	672	534	681	615	86	ا
0		3	665	534	672	615	81	ٕ
0		3	653	534	666	615	100	ل
0		3	640	534	653	615	100	ا
0		3	627	534	641	615	100	 
0		3	615	534	628	615	100	ا
0		3	606	534	615	615	98	ٔ
0		3	589	534	605	615	100	ن
0		3	574	534	590	615	100	ه
0		3	558	534	573	615	98	 
0		3	539	534	558	615	100	ب
0		3	510	534	539	615	65	ط
0		3	487	534	510	615	100	ن
0		3	466	534	488	615	100	 
0		3	456	534	465	615	100	ف
0		3	437	534	456	615	100	ي
0		3	418	534	438	615	100	 
0		3	409	534	418	615	97	ا
0		3	396	534	408	615	73	ل
0		3	380	534	396	615	99	د
0		3	358	534	381	615	100	ن
0		3	346	534	358	615	89	ي
0		3	329	534	345	615	100	ا
0		3	310	534	330	615	100	 
0		3	291	534	311	615	99	ع
0		3	263	534	292	615	98	ن
0		3	240	534	263	615	100	 
0		3	234	534	241	615	100	ا
0		3	219	534	234	615	100	ٕ
0		3	202	534	218	615	100	د
0		3	183	534	203	615	100	ر
0		3	162	534	184	615	99	ا
0		3	136	534	161	615	100	ك
0		4	1474	624	1494	699	100	ب
0		4	1450	624	1474	699	57	ع
0		4	1419	624	1451	699	67	ض
0		4	1392	624	1420	699	100	 
0		4	1378	624	1392	699	100	ا
