page	line	column	span	direction	left	top	right	bottom	word
12	1	1	1	r	370	87	402	108	يُنْزَلُ
12	1	1	1	r	349	87	371	108	بِهِ
12	1	1	1	r	318	87	351	108	عَلَيَّ.
12	1	1	1	r	295	87	332	108	وَلَسْتُ
12	1	1	1	r	270	87	295	108	بِنَبِيٍّ
12	1	1	1	r	249	87	276	108	وَلَا
12	1	1	1	r	216	87	263	108	رَسُولٍ،
12	1	1	1	r	186	87	230	108	وَلٰـكِنِّي
12	1	1	1	r	150	87	200	108	وَارِثٌ،
12	1	1	1	r	133	87	164	108	وَلِآ
12	1	1	1	r	114	87	143	108	خِـرَ
12	1	1	1	r	109	87	128	108	تِي
12	1	1	1	r	70	87	112	108	حَارِثٌ.
12	2	1	1	l	397	113	402	134	]
12	2	1	2	r	371	113	397	134	مجـزوء
12	2	1	2	r	327	113	371	134	الخفيف
12	2	1	3	l	323	113	327	134	[
12	3	1	1	r	369	139	374	160	١‐
12	3	1	1	r	332	139	357	160	فَمِنَ
12	3	1	1	r	321	139	339	160	اللهِ
12	3	1	1	r	299	139	318	160	فَـٱ
12	3	1	1	r	269	139	307	160	سْمَعُوْا
12	3	2	1	r	211	139	234	160	وَإَِ
12	3	2	1	r	222	139	225	160	لىٰ
12	3	2	1	r	196	139	222	160	اللهِ
12	3	2	1	r	166	139	193	160	فَارْ
12	3	2	1	r	145	139	180	160	جِعُـوْا
12	4	1	1	r	369	165	374	186	٢‐
12	4	1	1	r	329	165	356	186	فَإِذَا
12	4	1	1	r	300	165	336	186	سَمِعْتُــمْ
12	4	1	1	r	280	165	299	186	مَــا
12	4	2	1	r	217	165	234	186	أَ
12	4	2	1	r	201	165	231	186	تَـيْـتُـــمْ
12	4	2	1	r	173	165	198	186	بِـهِ،
12	4	2	1	r	143	165	180	186	فَعُـــوْا
12	5	1	1	r	367	191	374	212	٣‐
12	5	1	1	r	336	191	354	212	ثُمَّ
12	5	1	1	r	323	191	341	212	بِا
12	5	1	1	r	306	191	334	212	لفَهْمِ
12	5	1	1	r	271	191	311	212	فَصِّـلُوْا
12	5	2	1	r	200	191	234	212	مُجْمَلَ
12	5	2	1	r	177	191	206	212	القَولِ
12	5	2	1	r	156	191	179	212	وَٱ
12	5	2	1	r	128	191	167	212	جْمَعُوْا
12	6	1	1	r	368	217	374	238	٤‐
12	6	1	1	r	338	217	356	238	ثُمَّ
12	6	1	1	r	320	217	343	238	مُنُّوا
12	6	1	1	r	296	217	314	238	بِـهِ
12	6	1	1	r	275	217	299	238	عَلَىٰ
12	6	2	1	r	212	217	234	238	طَــا
12	6	2	1	r	186	217	218	238	لِبِـــيْهِ
12	6	2	1	r	174	217	196	238	لَا
12	6	2	1	r	135	217	180	238	تَمْنَعُـــوْا
12	7	1	1	r	368	243	374	264	٥‐
12	7	1	1	r	329	243	355	264	هٰذِهِ
12	7	1	1	r	310	243	338	264	الرَّ
12	7	1	1	r	295	243	324	264	حْمَةُ
12	7	1	1	r	278	243	305	264	الَّتِي
12	7	2	1	r	215	243	234	264	وَ
12	7	2	1	r	187	243	229	264	سِعَتْـكُــمُ
12	7	2	1	r	160	243	187	264	فَـوَ
12	7	2	1	r	147	243	174	264	سِّعُــوا
