stripe	column	line	left	top	right	bottom	confidence	text
47	0		1	1212	131	2360	441	54	بوٕتالاعييارعيم
47	0		2	2921	736	3063	914	93	الحمد
47	0		2	2798	736	2842	914	99	له
47	0		2	2611	736	2762	914	93	منزل
47	0		2	2361	736	2569	914	89	الحك
47	0		2	2204	736	2297	914	92	على
47	0		2	1988	736	2160	914	87	قلوب
47	0		2	1737	736	1952	914	91	الكلم
47	0		2	1444	736	1701	914	92	بأحدية
47	0		2	1171	736	1408	914	98	الطريق
47	0		2	905	736	1135	914	100	الأمم
47	0		2	762	736	855	914	86	من
47	0		2	461	736	734	914	97	المقـام
47	0		2	339	736	361	914	97	ا
47	0		3	2945	923	3201	1093	90	الأقـدم
47	0		3	2788	923	2911	1093	98	وإن
47	0		3	2491	923	2755	1093	91	اختلفت
47	0		3	2255	923	2444	1093	99	النحل
47	0		3	2011	923	2208	1093	99	والملل
47	0		3	1673	923	1957	1093	94	لاختلاف
47	0		3	1450	923	1619	1093	99	الأمم
47	0		3	1382	923	1403	1093	100	.
47	0		3	1160	923	1343	1093	94	وصلى
47	0		3	998	923	1105	1093	100	الله
47	0		3	849	923	943	1093	99	على
47	0		3	639	923	788	1093	95	مد5
47	0		3	504	923	605	1093	98	(2)
47	0		4	3039	1102	3201	1271	88	الهمم
47	0		4	2971	1102	2998	1271	100	،
47	0		4	2850	1102	2938	1271	100	من
47	0		4	2585	1102	2795	1271	93	خزائن
47	0		4	2369	1102	2551	1271	100	الجود
47	0		4	2071	1102	2335	1271	100	والكرم
47	0		4	2003	1102	2031	1271	72	،
47	0		4	1760	1102	1964	1271	99	بالقيل
47	0		4	1502	1102	1712	1271	98	الأقوم
47	0		4	1435	1102	1463	1271	74	،
47	0		4	1280	1102	1401	1271	100	محمد
47	0		4	1104	1102	1246	1271	99	وعلى
47	0		4	948	1102	1063	1271	94	آله
47	0		4	758	1102	908	1271	98	وسلم
47	0		4	691	1102	719	1271	100	.
47	0		5	2959	1280	3068	1459	93	أما
47	0		5	2822	1280	2931	1459	99	بعد
47	0		5	2740	1280	2774	1459	100	:
47	0		5	2576	1280	2692	1459	89	فإني
47	0		5	2349	1280	2534	1459	99	رأيت
47	0		5	2089	1280	2295	1459	99	رسول
47	0		5	1959	1280	2055	1459	97	الله
47	0		5	1801	1280	1918	1459	88	صلى
47	0		5	1672	1280	1767	1459	99	الله
47	0		5	1494	1280	1630	1459	89	عليه
47	0		5	1308	1280	1452	1459	90	وسلم
47	0		5	1220	1280	1268	1459	76	في
47	0		5	898	1280	1172	1459	96	مبشرة
47	0		5	604	1280	877	1459	93	أريتها
47	0		5	501	1280	570	1459	84	في
47	0		6	3034	1468	3202	1639	92	العشر
47	0		6	2793	1468	2997	1639	100	الآخر
47	0		6	2654	1468	2745	1639	99	من
47	0		6	2462	1468	2612	1639	98	محرم
47	0		6	2329	1468	2420	1639	86	(3)
47	0		6	2173	1468	2299	1639	94	سنة
47	0		6	2004	1468	2137	1639	98	سبع
47	0		6	1649	1468	1968	1639	92	وعشرون
47	0		6	1367	1468	1595	1639	98	وستمائة
47	0		6	1042	1468	1330	1639	99	بمحروسة
47	0		6	807	1468	1005	1639	98	دمشق
47	0		6	729	1468	759	1639	100	،
47	0		6	500	1468	705	1639	83	وبيده
47	0		7	3079	1648	3191	1811	100	صلى
47	0		7	2951	1648	3039	1811	96	الله
47	0		7	2775	1648	2911	1811	95	عليه
47	0		7	2589	1648	2741	1811	99	وسلم
47	0		7	2378	1648	2543	1811	100	كتاب
47	0		7	2320	1648	2344	1811	94	،
47	0		7	2145	1648	2280	1811	93	فقال
47	0		7	2046	1648	2099	1811	96	لي
47	0		7	1987	1648	2011	1811	100	:
47	0		7	1829	1648	1947	1811	99	هذا
47	0		7	1537	1648	1789	1811	91	«كتاب
47	0		7	1263	1648	1491	1811	100	فصوص
47	0		7	965	1648	1205	1811	96	الحكم»
47	0		7	784	1648	931	1811	85	خذه
47	0		7	498	1648	744	1811	99	واخرج
47	0		8	3146	1820	3201	1989	99	به
47	0		8	3026	1820	3114	1989	99	إلى
47	0		8	2813	1820	2976	1989	93	الناس
47	0		8	2487	1820	2756	1989	100	ينتفعون
47	0		8	2374	1820	2449	1989	99	به
47	0		8	2306	1820	2336	1989	100	،
47	0		8	2098	1820	2267	1989	100	فقلت
47	0		8	2017	1820	2048	1989	99	:
47	0		8	1798	1820	1998	1989	99	المع
47	0		8	1497	1820	1753	1989	100	والطاعة
47	0		8	1391	1820	1446	1989	100	له
47	0		8	1077	1820	1365	1989	99	ولرسوله
47	0		8	851	1820	1039	1989	90	وأولي
47	0		8	644	1820	807	1989	89	الأمر
47	0		8	500	1820	600	1989	98	منا
47	0		9	3101	1998	3188	2167	62	كما
47	0		9	2813	1998	3054	2167	87	أمرنا
47	0		9	2720	1998	2754	2167	51	.
47	0		9	2379	1998	2660	2167	97	فحققنت
47	0		9	2038	1998	2332	2167	94	الأمنيـة
47	0		9	1657	1998	1978	2167	98	وأخلصت
47	0		9	1449	1998	1623	2167	99	النية
47	0		9	1122	1998	1395	2167	91	وجردت
47	0		9	888	1998	1088	2167	90	القصد
47	0		9	640	1998	841	2167	100	والممة
47	0		9	493	1998	593	2167	100	إلى
47	0		10	3030	2176	3201	2352	99	إبراز
47	0		10	2727	2176	2967	2352	100	هـذا
47	0		10	2441	2176	2707	2352	97	الكتاب
47	0		10	2290	2176	2378	2352	100	كما
47	0		10	2094	2176	2252	2352	88	حده
47	0		10	2004	2176	2061	2352	100	لي
47	0		10	1763	2176	1960	2352	88	رسول
47	0		10	1631	2176	1719	2352	99	الله
47	0		10	1472	2176	1593	2352	100	صلى
47	0		10	1340	2176	1428	2352	100	الله
47	0		10	1162	2176	1301	2352	100	عليه
47	0		10	979	2176	1124	2352	99	وسلم
47	0		10	858	2176	940	2352	98	من
47	0		10	706	2176	807	2352	100	غير
47	0		10	497	2176	668	2352	99	زيادة
47	0		11	3079	2361	3195	2532	98	(2
47	0		11	2995	2361	3028	2532	98	-
47	0		11	2866	2361	2957	2532	93	1)
47	0		11	2732	2361	2821	2532	96	ولا
47	0		11	2467	2361	2693	2532	100	نقصان
47	0		11	2390	2361	2422	2532	100	؛
47	0		11	2106	2361	2345	2532	94	وسألت
47	0		11	1959	2361	2055	2532	99	الله
47	0		11	1765	2361	1920	2532	91	تعالى
47	0		11	1643	2361	1720	2532	98	أن
47	0		11	1405	2361	1598	2532	96	يجعلني
47	0		11	1263	2361	1366	2532	99	فيه
47	0		11	1121	2361	1224	2532	100	وفي
47	0		11	902	2361	1070	2532	95	جميـع
47	0		11	644	2361	870	2532	96	أحوالي
47	0		11	490	2361	593	2532	100	من
47	0		12	3013	2541	3195	2715	98	عباده
47	0		12	2810	2541	2966	2715	98	الذين
47	0		12	2640	2541	2771	2715	99	ليس
47	0		12	2288	2541	2562	2715	100	للشيطان
47	0		12	2048	2541	2237	2715	99	عليهم
47	0		12	1774	2541	1995	2715	100	سطان
47	0		12	1696	2541	1715	2715	100	،
47	0		12	1526	2541	1656	2715	100	وأن
47	0		12	1206	2541	1481	2715	100	يخصني
47	0		12	1102	2541	1161	2715	92	في
47	0		12	887	2541	1057	2715	99	جميع
47	0		12	783	2541	848	2715	99	ما
47	0		12	496	2541	757	2715	91	يرقمه
47	0		13	2997	2724	3195	2886	100	بناني
47	0		13	2719	2724	2944	2886	94	وينطق
47	0		13	2547	2724	2672	2886	83	بـه
47	0		13	2316	2724	2487	2886	99	لساني
47	0		13	1998	2724	2270	2886	89	وينطوي
47	0		13	1794	2724	1946	2886	96	عليه
47	0		13	1522	2724	1714	2886	91	جناني
47	0		13	1238	2724	1463	2886	100	بالالقاء
47	0		13	842	2724	1192	2886	98	السثبوحي
47	0		13	498	2724	776	2886	100	والنفث
47	0		14	2931	2895	3201	3065	95	الروحي
47	0		14	2811	2895	2868	3065	99	في
47	0		14	2542	2895	2776	3065	98	الروع
47	0		14	2237	2895	2478	3065	90	النفسي
47	0		14	1939	2895	2173	3065	96	بالتأييد
47	0		14	1536	2895	1897	3065	94	الاعتصامي
47	0		14	1458	2895	1479	3065	100	؛
47	0		14	1302	2895	1416	3065	93	حتى
47	0		14	990	2895	1259	3065	100	أكون
47	0		14	579	2895	912	3065	100	مترجمـا
47	0		14	487	2895	551	3065	100	لا
47	0		15	2884	3074	3196	3275	100	متحكماً
47	0		15	2800	3074	2836	3275	99	،
47	0		15	2500	3074	2758	3275	86	ليتحقق
47	0		15	2338	3074	2428	3275	90	من
47	0		15	2140	3074	2284	3275	94	يقف
47	0		15	1779	3074	2050	3275	88	عليـه
47	0		15	1629	3074	1725	3275	100	من
47	0		15	1359	3074	1569	3275	100	أهـل
47	0		15	1173	3074	1269	3275	100	الله
47	0		15	873	3074	1149	3275	100	أصحاب
47	0		15	483	3074	825	3275	100	القـلوب
48	0		1	1659	131	1748	196	100	52
48	0		2	2943	393	3047	555	96	أنه
48	0		2	2806	393	2904	555	100	من
48	0		2	2625	393	2761	555	95	مقام
48	0		2	2331	393	2598	555	98	التقديس
48	0		2	2097	393	2285	555	100	المنزه
48	0		2	1960	393	2052	555	98	عن
48	0		2	1642	393	1921	555	97	الأغراض
48	0		2	1493	393	1583	555	100	(1)
48	0		2	1226	393	1466	555	93	النفسية
48	0		2	1102	393	1206	555	94	التي
48	0		2	692	393	1057	555	100	يدخلهـا
48	0		2	445	393	672	555	95	التلبيس
48	0		2	354	393	380	555	99	.
48	0		3	2816	564	3046	720	98	وأرجو
48	0		3	2689	564	2771	720	97	أن
48	0		3	2436	564	2659	720	84	يكون
48	0		3	2228	564	2384	720	100	الحق
48	0		3	1960	564	2191	720	97	(2)لمٔا
48	0		3	1788	564	1900	720	99	سمع
48	0		3	1573	564	1744	720	98	دعاي
48	0		3	1454	564	1528	720	99	فد
48	0		3	1224	564	1417	720	97	أجاب
48	0		3	1001	564	1171	720	94	نداي
48	0		3	925	564	956	720	60	،؛
48	0		3	777	564	882	720	99	فما
48	0		3	614	564	763	720	100	ألقي
48	0		3	465	564	569	720	100	إلا
48	0		3	353	564	412	720	100	ما
48	0		4	2839	729	3041	891	98	يلقي
48	0		4	2689	729	2794	891	98	إلي
48	0		4	2583	729	2613	891	99	،
48	0		4	2418	729	2515	891	100	ولا
48	0		4	2208	729	2373	891	99	أنزل
48	0		4	2095	729	2155	891	98	في
48	0		4	1915	729	2035	891	99	هذا
48	0		4	1622	729	1893	891	89	المسطور
48	0		4	1456	729	1577	891	83	إلا5
48	0		4	1351	729	1419	891	100	ما
48	0		4	1157	729	1322	891	99	ينزل
48	0		4	1044	729	1112	891	76	به
48	0		4	894	729	999	891	100	علي
48	0		4	818	729	842	891	98	.
48	0		4	586	729	781	891	92	ولست
48	0		4	353	729	533	891	82	بني
48	0		5	2856	900	3047	1049	98	رسول
48	0		5	2524	900	2808	1049	98	ولكني
48	0		5	2285	900	2476	1049	83	وارث
48	0		5	1953	900	2224	1049	100	ولآخرتي
48	0		5	1694	900	1898	1049	98	حارث
48	0		5	1606	900	1634	1049	97	.
48	0		6	2333	1058	2466	1197	99	فمن
48	0		6	2161	1058	2271	1197	100	الل
48	0		6	1747	1058	2092	1197	93	فاسمعوا
48	0		6	1459	1058	1615	1197	99	وإلى
48	0		6	1264	1058	1385	1197	100	الله
48	0		6	919	1058	1207	1197	97	فارجعوا
48	0		7	2328	1206	2469	1376	99	فإذا
48	0		7	2198	1206	2276	1376	100	ما
48	0		7	1958	1206	2140	1376	100	سمعتم
48	0		7	1752	1206	1905	1376	100	ما
48	0		7	1429	1206	1629	1376	100	أتيت
48	0		7	1206	1206	1353	1376	100	بـه
48	0		7	918	1206	1124	1376	98	فعوا
48	0		8	2386	1385	2469	1533	100	ثم
48	0		8	2125	1385	2329	1533	96	بالفهم
48	0		8	1736	1385	2055	1533	90	فصلوا
48	0		8	1476	1385	1603	1533	97	مجمل
48	0		8	1246	1385	1418	1533	100	القول
48	0		8	915	1385	1170	1533	97	واجمعوا
48	0		9	2398	1542	2470	1692	98	ثم
