stripe	column	line	left	top	right	bottom	confidence	text
0		1	937	238	1209	336	100	-
0		1	889	238	1044	336	100	179-
0		2	1537	443	1664	532	91	معدومة
0		2	1488	443	1512	532	100	في
0		2	1358	443	1466	532	99	الحكم
0		2	1280	443	1336	532	96	لأن
0		2	1181	443	1262	532	100	الذي
0		2	1110	443	1159	532	86	قام
0		2	1061	443	1091	532	99	به
0		2	980	443	1045	532	91	العلم
0		2	875	443	968	532	100	يسمى
0		2	785	443	848	532	100	عالما
0		2	699	443	773	532	100	ًوهو
0		2	599	443	680	532	92	الحال
0		2	560	443	572	532	98	.
0		2	408	443	541	532	100	فعـالم
0		2	306	443	392	532	89	ذات
0		3	1527	543	1670	619	94	 موصوفة
0		3	1419	543	1510	619	99	بالعلم
0		3	1378	543	1393	619	100	،
0		3	1328	543	1360	619	80	ما
0		3	1268	543	1308	619	100	هو
0		3	1197	543	1244	619	100	عين
0		3	1083	543	1180	619	99	الذات
0		3	1011	543	1060	619	79	ولا
0		3	941	543	987	619	99	عين
0		3	859	543	923	619	81	العلم
0		3	824	543	838	619	100	،
0		3	748	543	809	619	100	وما
0		3	698	543	733	619	100	ثم
0		3	649	543	683	619	100	إلا
0		3	584	543	625	619	100	علم
0		3	476	543	567	619	94	وذات
0		3	400	543	453	619	100	قام
0		3	307	543	383	619	98	بها
0		4	1600	628	1662	709	100	هذا
0		4	1524	628	1588	709	100	العلم
0		4	1492	628	1504	709	99	.
0		4	1363	628	1475	709	87	وكونه
0		4	1279	628	1343	709	93	عالماً
0		4	1198	628	1259	709	100	حال
0		4	1104	628	1171	709	87	لهذه
0		4	996	628	1086	709	85	الذات
0		4	836	628	973	709	98	باتصافها
0		4	745	628	809	709	95	بهذا
0		4	655	628	730	709	100	المعنى
0		4	616	628	628	709	100	.
0		4	474	628	596	709	90	فحدثت
0		4	412	628	456	709	95	(1)
0		4	307	628	397	709	100	نسبة
0		5	1605	718	1667	797	95	العلم
0		5	1525	718	1590	797	95	إليه
0		5	1494	718	1503	797	100	،
0		5	1423	718	1475	797	100	فهو
0		5	1303	718	1404	797	100	المسمى
0		5	1191	718	1275	797	99	عالماً.
0		5	1049	718	1173	797	99	والرحمة
0		5	988	718	1028	797	87	على
0		5	858	718	966	797	86	الحقيقة
0		5	759	718	836	797	100	نسبة
0		5	706	718	746	797	100	من
0		5	577	718	694	797	100	الراحم
0		5	555	718	564	797	96	،
0		5	459	718	534	797	100	وهي
0		5	308	718	441	797	100	الموجبة
