stripe	column	line	left	top	right	bottom	confidence	text
0		1	978	241	1044	336	100	-
0		1	990	241	979	336	100	 
0		1	1011	241	991	336	100	2
0		1	1037	241	1010	336	100	3
0		1	928	241	1037	336	97	 
0		2	1678	435	1689	514	97	ف
0		2	1662	435	1678	514	100	ي
0		2	1641	435	1661	514	99	 
0		2	1628	435	1642	514	72	ق
0		2	1607	435	1627	514	93	ي
0		2	1590	435	1608	514	60	م
0		2	1571	435	1591	514	100	ت
0		2	1556	435	1570	514	99	ه
0		2	1542	435	1557	514	100	ا
0		2	1525	435	1542	514	100	 
0		2	1505	435	1525	514	100	و
0		2	1486	435	1506	514	100	م
0		2	1457	435	1485	514	100	د
0		2	1431	435	1457	514	100	ى
0		2	1414	435	1432	514	100	 
0		2	1401	435	1415	514	97	ف
0		2	1380	435	1400	514	100	ه
0		2	1361	435	1381	514	100	م
0		2	1340	435	1360	514	100	 
0		2	1323	435	1341	514	97	و
0		2	1304	435	1324	514	99	ا
0		2	1278	435	1303	514	98	ض
0		2	1253	435	1278	514	71	ع
0		2	1236	435	1252	514	100	ي
0		2	1216	435	1235	514	100	ه
0		2	1204	435	1216	514	100	ا
0		2	1191	435	1205	514	99	 
0		2	1179	435	1190	514	99	ل
0		2	1165	435	1179	514	100	ا
0		2	1146	435	1165	514	98	ب
0		2	1123	435	1145	514	99	ن
0		2	1097	435	1122	514	99	 
0		2	1080	435	1097	514	93	ع
0		2	1061	435	1080	514	99	ر
0		2	1043	435	1060	514	100	ب
0		2	1023	435	1043	514	100	ي
0		2	1000	435	1024	514	100	 
0		2	983	435	1001	514	100	و
0		2	959	435	984	514	100	م
0		2	936	435	958	514	100	ذ
0		2	908	435	935	514	100	ه
0		2	891	435	907	514	100	ب
0		2	876	435	890	514	99	ه
0		2	864	435	876	514	100	 
0		2	847	435	865	514	99	،
0		2	834	435	848	514	99	ك
0		2	828	435	833	514	100	م
0		2	817	435	828	514	100	ا
0		2	802	435	816	514	100	 
0		2	791	435	803	514	89	ت
0		2	774	435	791	514	100	ت
0		2	755	435	774	514	100	ف
0		2	740	435	754	514	98	ا
0		2	712	435	740	514	100	و
0		2	681	435	712	514	87	ت
0		2	654	435	680	514	100	 
0		2	646	435	655	514	99	ف
0		2	630	435	646	514	100	ي
0		2	612	435	629	514	100	 
0		2	601	435	612	514	90	ا
0		2	590	435	601	514	91	ل
0		2	575	435	589	514	100	ن
0		2	553	435	576	514	100	ز
