stripe	column	line	left	top	right	bottom
0		1	747	249	957	344
0		2	172	468	1534	544
0		3	172	554	1605	627
0		4	172	637	1536	706
0		5	172	716	1537	782
0		6	172	792	1536	863
0		7	172	873	1535	947
0		8	172	957	1535	1021
0		9	172	1031	1605	1102
0		10	172	1112	1534	1183
0		11	172	1193	1534	1265
0		12	172	1275	1537	1346
0		13	172	1356	1537	1426
0		14	172	1436	1535	1505
0		15	172	1515	1540	1589
0		16	172	1599	1539	1669
0		17	172	1679	1542	1751
0		18	172	1761	1537	1825
0		19	172	1835	1536	1904
0		20	172	1914	1538	2006
